age,hAnni_mean,ei_mean,wi_mean,ln_hAnni_mean,ln_ei_mean,ln_wi_mean,emp_sd,ewks_sd,hAnni_sd,ei_sd,wi_sd,ln_hAnni_sd,ln_ei_sd,ln_wi_sd,corr_hAnni_wi,corr_hAnni_ei,corr_ln_hAnni_ln_wi,corr_ln_hAnni_ln_ei
25,2216.2708,36909.195,16.842915,7.6599145,10.367094,2.7071791,0,0,608.75269,20040.496,8.3769131,.31454957,.57703346,.49460748,-.082274668,.38278776,-.034099549,.51588637
26,2266.0884,40307.852,18.143694,7.6858344,10.466461,2.7806268,0,0,607.32813,21336.455,9.4269791,.29806572,.54872596,.48847622,-.14111657,.32931462,-.090495579,.46263677
27,2320.7461,44004.316,19.348984,7.7160864,10.550409,2.8343232,0,0,579.61285,27528.826,13.603046,.27048168,.54382801,.49606299,-.1141983,.24765553,-.087533958,.41752052
28,2332.8481,46471.746,20.168839,7.7218561,10.610395,2.8885391,0,0,584.10083,25340.15,10.252031,.26625031,.53789431,.48712033,-.0967732,.3374635,-.072651334,.42919287
29,2348.519,49472.082,21.336157,7.7293434,10.665152,2.9358084,0,0,581.76697,28201.283,11.248385,.26229128,.5493328,.50782168,-.097301804,.32473785,-.093519442,.39101994
30,2398.592,51752.711,21.741188,7.7524862,10.708318,2.955832,0,0,574.53131,29016.857,11.182603,.25471345,.56075889,.50535685,-.061607458,.31942967,-.022583475,.43387765
31,2425.3665,54268.691,22.65756,7.7641821,10.755649,2.9914668,0,0,577.42712,31685.982,12.398561,.25127596,.54675239,.51196408,-.095635489,.28738922,-.10225358,.36383167
32,2422.4685,57877.926,23.957987,7.7621222,10.798184,3.036063,0,0,583.21002,38921.578,14.183853,.2554695,.57845163,.52607048,-.019300446,.29787254,-.027562493,.41657713
33,2419.1599,58407.816,24.390455,7.7620587,10.811254,3.0491948,0,0,578.43451,37146.879,14.365542,.24780749,.57501286,.53938663,-.071847111,.26686215,-.081198722,.35479209
34,2447.4685,63195.543,25.966576,7.7765312,10.879965,3.1034336,0,0,557.69409,44179.133,16.855497,.23399869,.57511741,.53822601,-.037987147,.25116837,-.054320138,.35603547
35,2469.9944,67100.727,27.296808,7.7834644,10.923747,3.1402833,0,0,585.96124,50446.855,18.711721,.2448943,.60028064,.56082338,-.029410347,.2602652,-.051547326,.35980737
36,2484.5583,69808.125,28.44121,7.7894797,10.96657,3.1770899,0,0,601.1864,51867.082,20.235504,.24128462,.59060425,.56131649,-.070390284,.24949619,-.09037827,.32264221
37,2496.3347,73016.43,29.869377,7.7954731,11.010159,3.2146859,0,0,582.7146,52994.922,22.398237,.23800479,.59871352,.58051014,-.11865257,.21745285,-.12731391,.27408406
38,2480.0845,76976.094,31.750244,7.7883005,11.049435,3.2611341,0,0,581.97528,58335.383,24.995098,.24134152,.61571658,.59824258,-.12157151,.17764135,-.12824787,.26736036
39,2452.6091,80667.656,33.753578,7.7764225,11.082149,3.3057263,0,0,590.08777,62027.551,27.985271,.24380074,.64000016,.62142521,-.12826721,.18050481,-.11883483,.26555276
