,id,time,exp,edu,mar,work,offer,owage
0,0,0,0,1,1,1,1,117974.51656918578
1,0,1,1,1,1,1,1,33195.6939597048
2,0,2,2,1,1,0,1,6786.3311313935765
3,0,3,2,1,1,0,0,-9999.0
4,0,4,2,1,1,0,0,-9999.0
5,0,5,2,1,1,0,0,-inf
6,1,0,0,1,1,1,1,273083.7392367692
7,1,1,1,1,1,1,1,222558.23529315428
8,1,2,2,1,1,1,1,73347.76577231141
9,1,3,3,1,1,1,1,93077.56959689762
10,1,4,4,1,1,0,1,9963.328872410104
11,1,5,4,1,1,0,0,-inf
12,2,0,0,1,1,0,0,-9999.0
13,2,1,0,1,1,0,0,-9999.0
14,2,2,0,1,1,0,0,-9999.0
15,2,3,0,1,1,0,0,-9999.0
16,2,4,0,1,1,0,0,-9999.0
17,2,5,0,1,1,0,0,-inf
18,3,0,0,1,1,0,0,-9999.0
19,3,1,0,1,1,0,0,-9999.0
20,3,2,0,1,1,0,0,-9999.0
21,3,3,0,1,1,0,0,-9999.0
22,3,4,0,1,1,0,0,-9999.0
23,3,5,0,1,1,0,0,-inf
24,4,0,0,1,1,0,0,-9999.0
25,4,1,0,1,1,0,0,-9999.0
26,4,2,0,1,1,1,1,1445274.6361141335
27,4,3,1,1,1,1,1,50725.91890013663
28,4,4,2,1,1,0,1,9416.522959879972
29,4,5,2,1,1,0,0,-inf
30,5,0,0,1,1,1,1,92107.80525362947
31,5,1,1,1,1,1,1,30369.367611316422
32,5,2,2,1,1,0,1,27657.259970411906
33,5,3,2,1,1,0,0,-9999.0
34,5,4,2,1,1,0,0,-9999.0
35,5,5,2,1,1,0,0,-inf
36,6,0,0,1,1,1,1,21508.561738866625
37,6,1,1,1,1,1,1,18071.982409213466
38,6,2,2,1,1,0,1,42045.36441111762
39,6,3,2,1,1,0,0,-9999.0
40,6,4,2,1,1,0,0,-9999.0
41,6,5,2,1,1,0,0,-inf
42,7,0,0,1,1,1,1,26276.5453672695
43,7,1,1,1,1,1,1,55973.33878947172
44,7,2,2,1,1,1,1,15256.793026919679
45,7,3,3,1,1,0,1,7096.8007439024195
46,7,4,3,1,1,0,0,-9999.0
47,7,5,3,1,1,0,0,-inf
48,8,0,0,1,1,1,1,61505.65705231518
49,8,1,1,1,1,0,1,14602.731715527505
50,8,2,1,1,1,1,1,84264.9281121935
51,8,3,2,1,1,0,1,22833.50645802498
