age,job_hours_decimal
25,.34634879
26,.34961754
27,.34911901
28,.34830648
29,.34979489
30,.34409529
31,.34279877
32,.34198365
33,.33942124
34,.33822316
35,.33516315
36,.33415508
37,.33480304
38,.33588919
39,.33597654
40,.3350912
41,.33751237
42,.33826393
43,.33733717
44,.33985823
45,.34194803
46,.3408432
47,.3410008
48,.34275281
49,.34312487
50,.34197146
51,.3428638
52,.34249917
53,.34003356
54,.34036627
55,.33688238
56,.33453229
57,.32937533
58,.32564124
59,.32014462
60,.31720483
61,.31047657
62,.30714589
63,.30079001
64,.29007879
65,.27416566
66,.24419725
67,.23941688
68,.22299182
69,.21708418
70,.20716092
71,.19152349
72,.19259551
73,.18568292
74,.1787485
75,.16981885
