Parameter,Value
rho_nu,0.9472
sigma_eps_2,0.0198
sigma_nu0_2,0.093
nu_grid,[0.]
nu_grid_size,1
nu_trans,"[[0.9736 0.0264]
 [0.0264 0.9736]]"
sigma_gamma_2,0.051
lab_FE_grid,[10. 20. 30. 40.]
lab_FE_grid_size,4
beta,0.9803921568627451
alpha,0.45
sigma_util,3.0
phi_n,1.125
phi_H,0.1
B2B,0.25
G2G,0.65
r,0.02
a_min,-500.0
a_max,500.0
a_grid_growth,0.0
a_grid,"[-500.         -489.8989899  -479.7979798  -469.6969697  -459.5959596
 -449.49494949 -439.39393939 -429.29292929 -419.19191919 -409.09090909
 -398.98989899 -388.88888889 -378.78787879 -368.68686869 -358.58585859
 -348.48484848 -338.38383838 -328.28282828 -318.18181818 -308.08080808
 -297.97979798 -287.87878788 -277.77777778 -267.67676768 -257.57575758
 -247.47474747 -237.37373737 -227.27272727 -217.17171717 -207.07070707
 -196.96969697 -186.86868687 -176.76767677 -166.66666667 -156.56565657
 -146.46464646 -136.36363636 -126.26262626 -116.16161616 -106.06060606
  -95.95959596  -85.85858586  -75.75757576  -65.65656566  -55.55555556
  -45.45454545  -35.35353535  -25.25252525  -15.15151515   -5.05050505
    5.05050505   15.15151515   25.25252525   35.35353535   45.45454545
   55.55555556   65.65656566   75.75757576   85.85858586   95.95959596
  106.06060606  116.16161616  126.26262626  136.36363636  146.46464646
  156.56565657  166.66666667  176.76767677  186.86868687  196.96969697
  207.07070707  217.17171717  227.27272727  237.37373737  247.47474747
  257.57575758  267.67676768  277.77777778  287.87878788  297.97979798
  308.08080808  318.18181818  328.28282828  338.38383838  348.48484848
  358.58585859  368.68686869  378.78787879  388.88888889  398.98989899
  409.09090909  419.19191919  429.29292929  439.39393939  449.49494949
  459.5959596   469.6969697   479.7979798   489.8989899   500.        ]"
a_grid_size,100
H_grid,[0. 1.]
H_grid_size,2
state_space_shape,"(100, 4, 2, 1, 50)"
state_space_shape_no_j,"(100, 4, 2, 1)"
state_space_no_j_size,800
state_space_shape_sims,"(4, 2, 1, 1000, 51)"
lab_min,0.0
lab_max,0.8888888888888888
c_min,0.0001
leis_min,0.0
leis_max,1.0
dt,2500
sim_draws,1000
J,50
print_screen,0
interp_c_prime_grid,[0. 0.]
interp_eval_points,[0.]
H_by_nu_flat_trans,"[0.68152 0.01848 0.29208 0.00792 0.01848 0.68152 0.00792 0.29208 0.19472
 0.00528 0.77888 0.02112 0.00528 0.19472 0.02112 0.77888]"
H_by_nu_size,2
sim_interp_grid_spec,"(-500.0, 500.0, 100)"
start_age,25
end_age,76
age_grid,"[25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
 73 74 75]"
path,C:/Users/Ben/My Drive/PhD/PhD Year 3/3rd Year Paper/Model/My Code/Main_Git_Clone/Model/My Code/my_model_2/output/
wage_coeff_grid,"[[ 1.e+01  0.e+00 -0.e+00  0.e+00]
 [ 2.e+01  1.e+00 -3.e-02  0.e+00]
 [ 3.e+01  1.e+00 -3.e-02  0.e+00]
 [ 4.e+01  1.e+00 -3.e-02  0.e+00]]"
