age,correlation
76,.15917249
75,.22493906
74,.12558442
73,.092049561
72,.19372782
71,-.18928592
70,-.12372441
69,.026154973
68,-.19470251
67,-.043596566
66,.0097881751
65,-.068762645
64,.030799147
63,.047361262
62,.03440439
61,.031299934
60,.033036761
59,.10107269
58,.0932144
57,.059999093
56,.072151065
55,.072205469
54,.058013283
53,.078475565
52,.065647803
51,.076880395
50,.023820594
49,.033838894
48,.038528554
47,.039269399
46,.041650064
45,.049334686
44,.037628073
43,.056676023
42,.043812688
41,.047205076
40,.060130935
39,.032177012
38,.054251872
37,.060689706
36,.050250441
35,.063163735
34,.023074208
33,.072999045
32,.087978162
31,.1081291
30,.092541665
29,.062799141
28,.03360315
27,.057968955
26,.083325528
25,.064977512
