age,MH_type_0_P2P,MH_type_0_P2G,MH_type_0_G2P,MH_type_0_G2G,MH_type_1_P2P,MH_type_1_P2G,MH_type_1_G2P,MH_type_1_G2G
25,.79746747,.20253254,.6476419,.35235813,.14720054,.85279948,.11107015,.88892984
26,.82363379,.1763662,.66125184,.33874819,.096209951,.90379006,.15422034,.84577966
27,.7475456,.25245443,.6193741,.3806259,.21214519,.78785479,.14421117,.85578883
28,.79023576,.20976426,.70858216,.29141781,.2316591,.76834089,.14084432,.85915571
29,.80043954,.19956048,.60839802,.39160198,.14376542,.85623455,.14773133,.8522687
30,.7941615,.20583849,.58260202,.41739795,.26819342,.73180658,.15600891,.8439911
31,.76713008,.23286995,.60528582,.39471415,.20104247,.79895753,.15850244,.84149754
32,.79556727,.20443273,.64568144,.35431856,.3203128,.6796872,.16713265,.83286732
33,.76688325,.23311678,.63870394,.36129606,.21387042,.78612959,.12232037,.87767965
34,.79660392,.2033961,.66119641,.33880362,.25495338,.74504662,.14790292,.85209709
35,.7783637,.22163631,.61356944,.38643059,.29223472,.70776528,.15212424,.84787577
36,.80609566,.19390433,.65533775,.34466222,.30442601,.69557399,.13009176,.86990821
37,.80338389,.19661608,.60316473,.39683527,.26049811,.73950189,.14795479,.85204524
38,.78674763,.21325235,.5823822,.4176178,.25309378,.74690622,.13629501,.86370498
39,.79777193,.20222807,.55280274,.44719726,.27242991,.72757006,.12665139,.87334859
40,.78955072,.21044928,.56075716,.43924284,.29817614,.70182389,.11428761,.88571239
41,.78405225,.21594773,.53234035,.46765965,.30112252,.69887745,.12260103,.87739897
42,.76897788,.23102212,.54980713,.45019287,.2097719,.79022813,.10539652,.89460349
43,.77177328,.22822669,.56968176,.43031824,.17917836,.82082164,.09213984,.90786016
44,.76021123,.23978874,.5598833,.44011667,.20961623,.79038376,.12350364,.87649637
45,.78209442,.21790557,.56767392,.43232605,.24468417,.75531584,.12290207,.87709796
46,.7803641,.21963587,.49632776,.50367224,.33329448,.66670549,.13120857,.86879146
47,.72746593,.27253404,.55900073,.4409993,.20108892,.79891109,.1272559,.87274408
48,.78697783,.21302214,.5712772,.42872277,.20737742,.79262257,.11430472,.88569528
49,.76649755,.23350248,.53168988,.46831015,.23075378,.76924622,.10710985,.89289016
50,.77612674,.22387329,.57445085,.42554915,.2475367,.75246328,.098235816,.90176421
51,.80477035,.19522963,.51542056,.48457944,.21224533,.78775465,.10042657,.89957345
52,.76225573,.23774427,.55330575,.44669423,.22327207,.77672791,.13288566,.86711437
53,.799447,.20055299,.53321767,.46678236,.22972895,.77027106,.099994026,.900006
54,.80224252,.19775747,.53731799,.46268201,.24126317,.75873685,.10956406,.89043593
55,.7814573,.2185427,.51424563,.48575437,.27946341,.72053659,.11139574,.88860428
56,.76622796,.23377202,.53749752,.46250248,.22687575,.77312422,.101176,.89882398
57,.77142924,.22857077,.52520806,.47479194,.25660816,.74339187,.07401634,.92598367
58,.73723644,.26276356,.49514773,.50485224,.1722969,.82770312,.074043952,.92595607
59,.7592476,.2407524,.49929819,.50070184,.21473457,.78526545,.085081689,.9149183
60,.73125738,.26874259,.38979244,.61020756,.24526611,.75473392,.085948236,.91405177
61,.73231578,.26768422,.3782047,.6217953,.17482705,.82517296,.079343788,.9206562
62,.71573758,.28426239,.38560981,.61439019,.23045667,.76954335,.055139326,.9448607
63,.73620349,.26379651,.39885131,.60114866,.10787445,.89212555,.053294927,.94670504
64,.68258935,.31741068,.35874721,.64125276,.2229252,.77707481,.048699427,.95130056
65,.67457557,.32542443,.37760469,.62239534,.043675356,.95632464,.042063743,.95793623
66,.68726075,.31273925,.33455557,.66544443,.1674629,.83253711,.05931782,.94068217
67,.66003996,.33996007,.31585288,.68414712,.17462839,.82537162,.056369081,.94363093
68,.62695843,.37304154,.31412715,.68587285,.10921276,.89078724,.054373134,.94562685
69,.6712119,.3287881,.35198605,.64801395,.14192362,.85807639,.069363594,.93063641
70,.64933097,.35066906,.31652045,.68347955,.17042847,.82957155,.059476547,.94052345
71,.67034769,.32965231,.32498187,.67501813,.14409512,.85590488,.070961401,.92903858
72,.61178404,.38821596,.36406395,.63593602,.21572793,.78427207,.069983602,.9300164
73,.61972082,.38027918,.36754978,.63245022,.20513006,.79486996,.065886706,.93411332
74,.61463434,.38536569,.33769602,.66230398,.182622,.81737798,.049838692,.95016128
75,.63952535,.36047468,.35229617,.64770383,.19450095,.80549902,.073784232,.92621577
