age,MH_P2P,MH_P2G,MH_G2P,MH_G2G
25,.73023307,.26976693,.26862183,.73137814
26,.72005254,.27994749,.29707336,.70292664
27,.67771852,.32228148,.27089223,.7291078
28,.70458454,.29541549,.30835259,.69164741
29,.69871223,.30128777,.27067599,.72932398
30,.71982592,.28017408,.26665238,.73334759
31,.68204296,.31795701,.29096511,.70903486
32,.72352779,.27647221,.2887325,.71126753
33,.67324805,.32675195,.25883016,.74116987
34,.71167731,.28832272,.27414605,.72585392
35,.70156968,.29843032,.25863412,.74136585
36,.72662431,.27337569,.26876658,.73123342
37,.72084832,.27915165,.26456636,.73543364
38,.70433283,.2956672,.26107773,.7389223
39,.71945739,.28054261,.24328019,.75671983
40,.71715057,.28284943,.23564355,.76435643
41,.71237493,.28762507,.23238099,.76761901
42,.68378025,.31621978,.23166847,.76833153
43,.68639165,.31360838,.21853739,.78146261
44,.69704098,.302959,.22752368,.77247632
45,.69592226,.30407774,.24362159,.75637841
46,.70400536,.29599464,.2300906,.76990938
47,.64135635,.35864362,.24722308,.75277692
48,.69635081,.30364916,.24415764,.75584239
49,.68487644,.31512359,.21620619,.78379381
50,.70051533,.29948467,.23098753,.76901245
51,.71647042,.28352958,.20814295,.79185706
52,.69232666,.30767331,.23573945,.76426053
53,.70654327,.29345673,.21616036,.78383964
54,.72257948,.27742052,.22157249,.77842748
55,.72020632,.27979368,.21783789,.78216213
56,.69632244,.30367759,.21777384,.78222615
57,.70644462,.29355538,.19496013,.80503988
58,.6707896,.32921037,.18657005,.81342995
59,.70697951,.29302049,.20114198,.79885799
60,.6796239,.3203761,.17576081,.82423919
61,.67125213,.3287479,.17255175,.82744825
62,.66472155,.33527842,.1607219,.8392781
63,.67627347,.32372656,.16326532,.83673471
64,.63574266,.36425731,.14810382,.85189617
65,.60618812,.39381188,.15290813,.84709185
66,.64675313,.3532469,.15067703,.84932297
67,.60585421,.39414579,.14767326,.85232675
68,.56584084,.43415919,.14652011,.85347986
69,.61998546,.38001457,.17160377,.8283962
70,.59621871,.40378127,.1507071,.84929293
71,.61056262,.38943735,.16468927,.8353107
72,.56398213,.43601787,.17796071,.82203931
73,.57115358,.42884642,.17748058,.82251942
74,.55957818,.44042182,.15015312,.8498469
75,.59944409,.40055591,.17896195,.82103807
