wage,log_wage,job_hours,log_hours,labor_earnings,log_labor_earnings,mental_health,physical_health,MH,PH
1,1,1,1,1,1,1,1,1,1
.85722631,.87122881,.85192263,.86092657,.91554952,.9317646,.64781326,.79821002,.50886095,.5775882
.7851662,.82224298,.7857365,.79673946,.87116975,.89411592,.6303609,.77627563,.4719373,.56453478
.7796458,.79846305,.77179211,.77313274,.87388903,.87682575,.57937807,.73693746,.43131787,.54716396
.80978686,.81708378,.76474345,.76671499,.86279732,.86585754,.54894269,.71230143,.42415553,.521483
.74235815,.78244382,.69430566,.70736963,.82431251,.84357864,.52096188,.67496008,.3735173,.49805725
.74961865,.7719416,.68295777,.67581284,.82987517,.81833816,.50550312,.67248678,.37273857,.48883417
.65285718,.72487736,.6320222,.6230759,.76990342,.78012931,.49892822,.63277769,.35180691,.41356847
.7126292,.73374242,.58639652,.57652223,.78478903,.772641,.49441785,.62568814,.37609336,.41288075
.69036895,.70961893,.54358673,.53719687,.74983543,.73316675,.48211008,.6138863,.35445225,.43433052
.6894635,.70628691,.50932348,.51463431,.74852258,.73274142,.45947149,.5990364,.34358001,.41168943
