wage,log_wage,job_hours,log_hours,labor_earnings,log_labor_earnings,mental_health,physical_health,MH,PH
1,1,1,1,1,1,1,1,1,1
.78835344,.8423835,.84331787,.85729486,.89962912,.91688234,.60250419,.76901203,.46531487,.54948205
.76417738,.81556892,.78739911,.7965157,.87434852,.88576019,.56877232,.73664343,.43109718,.52107275
.72198713,.79220742,.73873484,.74108958,.85148573,.85989475,.54135084,.70948154,.41002673,.49832332
.71038014,.76991576,.69461572,.69481325,.83169752,.83334184,.51934099,.68778288,.39317328,.47905222
.69365495,.75066644,.65940481,.65072685,.81395149,.80992728,.5003866,.66846514,.37476557,.4589681
.69615102,.73496962,.62534428,.60968816,.79162633,.78713298,.48831925,.65680557,.37265128,.4482533
.68475449,.71697432,.59052712,.5730691,.77128911,.76094443,.48232764,.64350957,.35479647,.43398586
.66294158,.69951624,.56516361,.54365236,.75290835,.74084795,.46405718,.63090438,.34821236,.42374229
.62774277,.66848743,.52449608,.50333983,.72906607,.7096315,.44049916,.61956203,.3283855,.4197894
.61998236,.66665751,.50016183,.47770792,.72172201,.69789696,.42344803,.61036193,.32194757,.4137114
