age,correlation
76,.26242128
75,.31551519
74,.072303891
73,.15278256
72,.16141835
71,-.14030999
70,-.16027166
69,-.14202471
68,-.15057294
67,-.032179222
66,-.01137222
65,-.041952796
64,.028421644
63,.056891207
62,.034018751
61,.02816347
60,.046393618
59,.085126936
58,.077747345
57,.058357332
56,.057554562
55,.041477721
54,.044877619
53,.077508241
52,.061592773
51,.066576049
50,.015890583
49,.040287614
48,.021035733
47,.046110526
46,.038218666
45,.052253455
44,.059061781
43,.03185866
42,.039752759
41,.048648473
40,.062577151
39,.041063525
38,.041418169
37,.062771782
36,.047535498
35,.043878686
34,.020386556
33,.062052283
32,.062136695
31,.11282266
30,.1020105
29,.08985506
28,.033990361
27,.090646729
26,.080378458
25,.082306147
