age,p5,p10,p25,p50,p75,p90,p95
,,,,,,,
25,490,647.91998,1000,1250,1600,2000,2236
26,520,700,1000,1300,1679,2077,2453
27,500,674,1000,1330,1733.33,2103,2400
28,506,693.33002,1006.25,1369.665,1770,2150,2600
29,487.5,650,1018.33,1400,1840,2300,2706
30,528.66998,693.33002,1040,1424,1900,2400,2800
31,540,704.16998,1100,1500,1990,2522,2965
32,528,700,1100,1516.67,2058.3301,2600,3076.6699
33,513,679.90002,1060,1500,2051.8301,2735,3235
34,515,693.33002,1060.0349,1500,2084.165,2786,3300
35,524,664,1030.29,1500,2086.1299,2800,3300
36,541.66998,700,1050,1589,2200,2833.3301,3333.3301
37,556,703,1090,1600,2227,2900,3500
38,533,725,1086.5,1600,2257,2916.6699,3480.28
39,540,700,1100,1600,2235,2946.6699,3500
40,593.66998,760,1100,1600,2288,3000,3666.6699
41,550,715,1079.5,1600,2275.22,3000,3603.8701
42,574,736.66998,1050,1600,2300,3000,3600
43,573,730,1083.33,1600,2300,3000,3712.22
44,570,731,1068,1600,2260,3034,3729
45,600,758.33002,1100,1625,2300,3100,3800
46,563.33002,750,1088.8301,1600.585,2300,3097.6602,3800
47,567.66998,736.66998,1068,1600,2257.6699,3100,3900
48,595,736.66998,1085,1596,2300,3040,3750
49,558,723,1080,1597.5,2220.8301,3100,4000
50,585,754,1080,1596.04,2250.8352,3090,3800
51,600,750,1100,1552.1499,2200,3033.3301,3750
52,609,774.85999,1100,1593.655,2222,3002,3700
53,600,750,1083.33,1516.67,2200,2930,3638.3701
54,595,738.5,1063,1538.9351,2200,3000,3700
55,583.33002,736.66998,1029.17,1500,2177,3000,3600
56,583.33002,746,1026.63,1494.075,2120,3000,3594
57,546,704.16998,1000,1450,2100,2925,3560
58,550,700,996.66998,1408.33,2100,2900,3541.6699
59,504.82999,650,938.46002,1386.67,2000,2850,3400
60,520,660.83002,929.40997,1300,1920,2666.6699,3300
61,500,635,916,1300,1814.1,2646.3201,3333.3301
62,481,606.66998,900,1299,1858,2600,3250
63,450,590,900,1290.39,1800,2585,3400
64,433.32999,541.935,849.33002,1250,1820,2649,3399
65,390,478,708.33496,1180.24,1750,2645.5552,3292.845
66,400,450,650,1100,1743,2708.3301,3960
67,378,433.32999,618.58496,1000,1610,2508.8201,3800
68,361.82999,437,600,972,1424.83,2300,3200
69,327,390,592,850,1205.53,1900,2500
70,306,360,512.83496,855,1231.665,1804.85,2700
71,300,365,513,770,1200,2500,3283.5
72,300,340,520,790,1150,1583.33,2275
73,290,301,555,817.5,1200,1796.9301,2110.3301
74,260,303.32999,411.67001,703.5,1255,1600,1927.72
75,245,346.67001,475.76001,684.66998,1300,1665.3,1777.67
76,267.57999,430,500,750,1170,1351.37,1668.33
