age,labor_earnings,sd_labor_earnings,log_labor_earnings,sd_log_labor_earnings
25,1311.3857,524.20105,7.0940189,.430655
26,1375.2905,581.32886,7.1370034,.4375459
27,1396.8826,600.30786,7.1451712,.4586283
28,1438.5449,646.6803,7.1701384,.46719551
29,1499.4818,754.39404,7.1955938,.49823552
30,1533.8119,761.28809,7.2184467,.49978682
31,1605.1154,787.79578,7.2624559,.50554442
32,1640.2738,825.63293,7.2775264,.51858032
33,1653.7369,873.79675,7.272933,.54390889
34,1663.0372,886.50336,7.2769365,.54551411
35,1666.5891,888.84839,7.2785802,.54558802
36,1714.5688,902.57611,7.3092823,.54129297
37,1760.2562,938.52539,7.3313861,.55070567
38,1769.7682,954.61298,7.3346553,.55528271
39,1762.1633,939.99579,7.3308754,.5561009
40,1805.5438,982.91034,7.3569031,.54654568
41,1767.5621,964.67731,7.3307805,.55775702
42,1769.9587,973.44269,7.3304291,.55928349
43,1789.8429,982.73309,7.3415542,.56069309
44,1785.5054,999.54871,7.336123,.56326878
45,1831.1052,1021.8016,7.3641834,.55694705
46,1810.7843,1019.6194,7.3504581,.56228483
47,1802.8303,1052.4447,7.3411503,.5687356
48,1799.2767,1034.3718,7.3439484,.55912459
49,1798.0935,1048.1147,7.3384185,.56851119
50,1795.9767,1037.1597,7.3411779,.56064582
51,1796.2125,1085.2281,7.3413658,.55466163
52,1797.4152,1038.6904,7.3461242,.55036569
53,1749.5409,969.82208,7.323997,.54489511
54,1749.1658,1003.5867,7.3206797,.54660827
55,1737.2765,1017.5427,7.3097329,.5541181
56,1705.09,983.96869,7.2921333,.55173147
57,1684.0077,998.58472,7.2772536,.5534156
58,1658.3844,967.88776,7.2611947,.55657208
59,1596.6135,936.0752,7.2186151,.56735933
60,1535.1648,888.55469,7.191186,.54040802
61,1516.004,929.47906,7.1671472,.55872458
62,1501.7843,932.68799,7.15096,.57362211
63,1497.0133,964.20422,7.1383786,.5914076
64,1470.0347,934.72101,7.1168489,.60007375
65,1382.8484,957.76544,7.0306821,.63382351
66,1396.397,1085.292,7.0034428,.67916274
67,1311.5546,1042.0465,6.9357448,.67860329
68,1186.5229,892.69128,6.8657379,.6330874
69,1034.656,741.85681,6.7576923,.59214741
70,1023.7348,745.55994,6.7240806,.63532895
71,1051.1849,957.77783,6.7003894,.67152178
72,939.9054,654.08344,6.6625862,.59441048
73,980.84351,686.56873,6.6936474,.62516659
74,954.16217,886.69794,6.6027164,.68836677
75,948.57153,724.16132,6.6335425,.66256505
