age,emp,sd_emp
25,.69519836,.46048364
26,.70842034,.45464802
27,.69945729,.45864967
28,.69987231,.45845968
29,.71224731,.45284986
30,.71621621,.45095506
31,.74462891,.43617609
32,.73907042,.43924266
33,.73719376,.44025612
34,.74283272,.43716595
35,.7448023,.43606117
36,.74364984,.43670273
37,.75465119,.43037724
38,.75985128,.42725304
39,.77591854,.41705185
40,.77808505,.41560608
41,.78850102,.40844125
42,.79353982,.40483201
43,.79808646,.40149429
44,.80147767,.39895156
45,.80133504,.39905867
46,.80252767,.39815465
47,.80381131,.39717498
48,.80828851,.39370957
49,.79838711,.40126684
50,.80276817,.39797142
51,.79377186,.40466052
52,.78470439,.41109332
53,.76515394,.42396986
54,.75539571,.42992264
55,.71437865,.45178333
56,.69833887,.45905522
57,.66856569,.4708077
58,.62348181,.48459414
59,.57926828,.4937602
60,.5068301,.50004095
61,.43769634,.49618968
62,.37525085,.48426861
63,.29763064,.45729041
64,.24374802,.4294104
65,.15004689,.3571732
66,.097075298,.29610634
67,.082183376,.27468601
68,.060690943,.23879971
69,.043054681,.20301214
70,.034760218,.18320139
71,.026211016,.15978883
72,.027196653,.16268443
73,.017062314,.12952766
74,.018203404,.13371281
75,.014248705,.11854006
