age,job_hours_decimal,sd_job_hours_decimal,log_hours,sd_log_hours
25,.34802902,.084511898,3.5091872,.31124306
26,.34854224,.082719386,3.5129936,.30100217
27,.34821436,.084245153,3.5115335,.30203798
28,.34592611,.085122876,3.5038712,.30554515
29,.34380969,.089411333,3.4937062,.31936949
30,.34271848,.088964768,3.4901762,.32158273
31,.34573704,.089944787,3.4994335,.31934407
32,.34117311,.088804565,3.4854653,.32203278
33,.33551058,.092487492,3.464113,.33682019
34,.33715206,.097178347,3.467288,.33961299
35,.33033225,.095861338,3.4449914,.34677941
36,.33386126,.094921358,3.4597838,.33042553
37,.33503288,.092235945,3.4643629,.32900476
38,.33572799,.09267208,3.4671643,.32488525
39,.33468917,.091975376,3.4621668,.33530858
40,.33850378,.089599967,3.4790714,.31184551
41,.33740407,.093068883,3.4723263,.3246724
42,.33440119,.094015315,3.4619811,.32952824
43,.33546093,.093401588,3.465318,.33005786
44,.33706853,.09221343,3.4729404,.31786492
45,.34156644,.091344915,3.4877119,.31364551
46,.3396197,.091470957,3.4805534,.32005578
47,.33955073,.090199113,3.481292,.31696486
48,.34142545,.089965306,3.4871004,.31630942
49,.3418349,.091775581,3.4861276,.32561374
50,.34137657,.08830478,3.487318,.3170962
51,.34137911,.087846264,3.4886425,.31085023
52,.34210607,.089929551,3.4894819,.31557527
53,.33976191,.089311287,3.4812448,.32205346
54,.33907923,.087806202,3.4811401,.31348476
55,.33765984,.090954736,3.4742301,.3221769
56,.33529782,.094502486,3.4637423,.33377442
57,.33133233,.095290765,3.4485154,.34612674
58,.32903138,.09459319,3.4421868,.34317985
59,.32350293,.096085466,3.4221697,.35225829
60,.32133725,.099207252,3.4122314,.36091146
61,.31837401,.099423721,3.4002016,.37094966
62,.31640196,.10211459,3.3907115,.38006622
63,.31309813,.10193307,3.3798807,.37956554
64,.30552208,.10527126,3.3463225,.4067775
65,.29076251,.11166331,3.2875364,.42168465
66,.27635255,.11075042,3.2350447,.42020488
67,.27554104,.11589816,3.2250915,.43691492
68,.25405642,.10754842,3.1467717,.42478076
69,.25343066,.12050713,3.1326454,.44523847
70,.23594445,.11095919,3.0554616,.46250919
71,.24812658,.13725966,3.0881667,.48767832
72,.23903847,.1268117,3.0471599,.50177687
73,.26249999,.13543244,3.1441522,.5023858
74,.24163043,.12043927,3.0702305,.48496193
75,.23136364,.11438882,3.0302219,.47858849
