age,mean_badMH
25,.4829506
26,.48851773
27,.47829038
28,.45466155
29,.46076101
30,.45513514
31,.45068359
32,.45605153
33,.45746103
34,.44972187
35,.4598451
36,.44275108
37,.44961241
38,.45464683
39,.44779921
40,.43899065
41,.43394935
42,.41858143
43,.42395249
44,.41824606
45,.43038779
46,.43191153
47,.42393002
48,.41758937
49,.4292804
50,.42057252
51,.42294249
52,.43155527
53,.42780069
54,.4149771
55,.4245283
56,.41893688
57,.41454422
58,.40452093
59,.38617885
60,.37793344
61,.35881326
62,.33645484
63,.32035053
64,.30895853
65,.29196623
66,.27255756
67,.27598897
68,.27046373
69,.25549969
70,.27647248
71,.2743862
72,.28277546
73,.287092
74,.28056985
75,.27202073
76,.27996209
