age,mean_earnings_MHT0_age,mean_earnings_MHT1_age,_merge
25,1282.3727,1346.5905,matched (3)
26,1333.4927,1422.7396,matched (3)
27,1338.0183,1462.3446,matched (3)
28,1369.1831,1510.0004,matched (3)
29,1412.9036,1584.3853,matched (3)
30,1442.6917,1623.1641,matched (3)
31,1508.7126,1705.5613,matched (3)
32,1562.2246,1719.5381,matched (3)
33,1545.3391,1752.8569,matched (3)
34,1587.1377,1734.9663,matched (3)
35,1569.1108,1751.6593,matched (3)
36,1616.2792,1801.4579,matched (3)
37,1665.1356,1848.6028,matched (3)
38,1701.2382,1834.3527,matched (3)
39,1691.9414,1825.6904,matched (3)
40,1731.8026,1870.9015,matched (3)
41,1690.6516,1841.2773,matched (3)
42,1672.257,1858.7959,matched (3)
43,1729.7523,1845.3049,matched (3)
44,1690.4835,1871.7754,matched (3)
45,1755.5475,1891.752,matched (3)
46,1765.2196,1853.677,matched (3)
47,1722.1328,1873.5511,matched (3)
48,1739.5695,1854.3768,matched (3)
49,1753.1792,1838.0251,matched (3)
50,1734.3756,1850.4053,matched (3)
51,1736.0453,1850.4012,matched (3)
52,1731.5424,1854.7941,matched (3)
53,1678.1527,1812.7532,matched (3)
54,1681.5745,1807.3154,matched (3)
55,1682.3093,1783.1047,matched (3)
56,1635.1869,1766.5426,matched (3)
57,1595.7174,1766.0734,matched (3)
58,1543.1313,1761.0289,matched (3)
59,1507.7092,1677.1989,matched (3)
60,1447.7847,1612.4259,matched (3)
61,1454.6958,1574.7306,matched (3)
62,1419.9562,1572.7365,matched (3)
63,1430.4338,1551.9438,matched (3)
64,1457.5452,1492.9833,matched (3)
65,1417.3506,1371.5381,matched (3)
66,1472.8505,1340.8792,matched (3)
67,1397.9077,1251.1051,matched (3)
68,1350.0206,1110.4441,matched (3)
69,1136.2593,941.31616,matched (3)
70,1124.9296,928.30396,matched (3)
71,1064.9558,1100.8636,matched (3)
72,833.21307,1031.356,matched (3)
73,674.97748,1216.125,matched (3)
74,942.77802,959.67065,matched (3)
75,475.07599,1154.4391,matched (3)
76,616.73456,1029.0618,matched (3)
