age,mean_hours_MH0_age,mean_hours_MH1_age,_merge
25,.34291953,.35196987,matched (3)
26,.33829451,.3574011,matched (3)
27,.34139264,.35373157,matched (3)
28,.34065238,.34950382,matched (3)
29,.3339656,.35071734,matched (3)
30,.3366347,.34692976,matched (3)
31,.34004477,.34994298,matched (3)
32,.33512595,.3453812,matched (3)
33,.33005491,.33943096,matched (3)
34,.33501843,.33861107,matched (3)
35,.32576683,.333673,matched (3)
36,.32730898,.33828521,matched (3)
37,.3276425,.34018746,matched (3)
38,.32950294,.34015062,matched (3)
39,.33232099,.33629844,matched (3)
40,.33237228,.34238824,matched (3)
41,.33255145,.34048086,matched (3)
42,.32864779,.3378928,matched (3)
43,.33176285,.33771077,matched (3)
44,.33032727,.34110898,matched (3)
45,.33787939,.34387234,matched (3)
46,.33897084,.34003687,matched (3)
47,.33716443,.34100187,matched (3)
48,.33820918,.343288,matched (3)
49,.34185448,.34182304,matched (3)
50,.33773607,.34353903,matched (3)
51,.33941159,.34255207,matched (3)
52,.33690584,.34527141,matched (3)
53,.33698761,.34137952,matched (3)
54,.33385974,.34198987,matched (3)
55,.3288449,.34277123,matched (3)
56,.32859403,.33918107,matched (3)
57,.33048123,.3318119,matched (3)
58,.32681817,.33019835,matched (3)
59,.31529287,.32750088,matched (3)
60,.31874469,.32258445,matched (3)
61,.32204962,.31675774,matched (3)
62,.31752279,.31593695,matched (3)
63,.32000771,.31037843,matched (3)
64,.30285639,.30638316,matched (3)
65,.30022937,.28798112,matched (3)
66,.27961537,.27526495,matched (3)
67,.2960577,.27060184,matched (3)
68,.2475,.25564331,matched (3)
69,.26161289,.25103775,matched (3)
70,.26979166,.2262738,matched (3)
71,.32050002,.23763768,matched (3)
72,.18607143,.25062501,matched (3)
73,.20937501,.2736842,matched (3)
74,.205,.24820513,matched (3)
75,.14375,.24344827,matched (3)
76,.156,.22321428,matched (3)
