age,mean_earnings_MH0_age,mean_earnings_MH1_age,_merge
25,7.0630159,7.1189065,matched (3)
26,7.090836,7.1737022,matched (3)
27,7.1106501,7.1742196,matched (3)
28,7.1436043,7.1889038,matched (3)
29,7.1518373,7.2257833,matched (3)
30,7.1636834,7.2551684,matched (3)
31,7.2040734,7.3052654,matched (3)
32,7.226469,7.3138728,matched (3)
33,7.2270994,7.3032808,matched (3)
34,7.2554584,7.2925053,matched (3)
35,7.226645,7.3137031,matched (3)
36,7.2771068,7.330296,matched (3)
37,7.2888389,7.3611012,matched (3)
38,7.293932,7.3631077,matched (3)
39,7.3107095,7.3419232,matched (3)
40,7.31425,7.3833299,matched (3)
41,7.3004799,7.3513007,matched (3)
42,7.3053641,7.3464131,matched (3)
43,7.304462,7.3648052,matched (3)
44,7.2984948,7.3589301,matched (3)
45,7.3219676,7.388649,matched (3)
46,7.3227978,7.3690424,matched (3)
47,7.3149414,7.3571792,matched (3)
48,7.319407,7.3585896,matched (3)
49,7.3260598,7.3457947,matched (3)
50,7.3242002,7.3508682,matched (3)
51,7.2976503,7.3669395,matched (3)
52,7.3091116,7.3678432,matched (3)
53,7.2781682,7.3513241,matched (3)
54,7.2815499,7.3431883,matched (3)
55,7.2578969,7.3377428,matched (3)
56,7.2381678,7.323072,matched (3)
57,7.2422957,7.2977309,matched (3)
58,7.2094989,7.2891574,matched (3)
59,7.1400189,7.2563872,matched (3)
60,7.1681604,7.2014112,matched (3)
61,7.158916,7.1725583,matched (3)
62,7.1365623,7.1567454,matched (3)
63,7.1312609,7.139751,matched (3)
64,7.0963712,7.1274719,matched (3)
65,7.1103864,7.0140448,matched (3)
66,6.971077,7.019527,matched (3)
67,6.9860077,6.9288321,matched (3)
68,7.0528088,6.8379178,matched (3)
69,6.6896105,6.7814703,matched (3)
70,6.8458447,6.6867852,matched (3)
71,7.1402531,6.6670127,matched (3)
72,6.4351702,6.7123337,matched (3)
73,6.5696836,6.7197452,matched (3)
74,6.3789463,6.6428804,matched (3)
75,6.137239,6.7019982,matched (3)
76,6.3389459,6.6852493,matched (3)
