age,mean_log_hours_MH0_age,mean_log_hours_MH1_age,_merge
25,-1.1175927,-1.079908,matched (3)
26,-1.124504,-1.060817,matched (3)
27,-1.1213912,-1.0722792,matched (3)
28,-1.1192707,-1.0886053,matched (3)
29,-1.1450262,-1.0882759,matched (3)
30,-1.1387932,-1.0980417,matched (3)
31,-1.1244175,-1.0919107,matched (3)
32,-1.1409812,-1.1042111,matched (3)
33,-1.1602598,-1.1266327,matched (3)
34,-1.1430541,-1.1346779,matched (3)
35,-1.181332,-1.1437116,matched (3)
36,-1.1645312,-1.1331928,matched (3)
37,-1.165177,-1.1233138,matched (3)
38,-1.1602929,-1.1236522,matched (3)
39,-1.1474147,-1.1392419,matched (3)
40,-1.1429558,-1.1156404,matched (3)
41,-1.1497889,-1.1233099,matched (3)
42,-1.15895,-1.1331854,matched (3)
43,-1.1538026,-1.131956,matched (3)
44,-1.1564586,-1.1177421,matched (3)
45,-1.1266303,-1.1111357,matched (3)
46,-1.1256007,-1.1249108,matched (3)
47,-1.1290201,-1.1206648,matched (3)
48,-1.129119,-1.1115912,matched (3)
49,-1.1181568,-1.118714,matched (3)
50,-1.1233708,-1.1140922,matched (3)
51,-1.1214083,-1.1139523,matched (3)
52,-1.1306083,-1.1076326,matched (3)
53,-1.1324036,-1.1201711,matched (3)
54,-1.1393137,-1.1150136,matched (3)
55,-1.161814,-1.1117508,matched (3)
56,-1.1588761,-1.1310735,matched (3)
57,-1.1540862,-1.1574827,matched (3)
58,-1.1665851,-1.1621364,matched (3)
59,-1.2086052,-1.1702356,matched (3)
60,-1.1964558,-1.1916182,matched (3)
61,-1.1870828,-1.2123522,matched (3)
62,-1.2053248,-1.2176628,matched (3)
63,-1.1913265,-1.2388473,matched (3)
64,-1.2722553,-1.2539724,matched (3)
65,-1.283295,-1.3273808,matched (3)
66,-1.3702745,-1.3730454,matched (3)
67,-1.31429,-1.3984349,matched (3)
68,-1.51045,-1.4453857,matched (3)
69,-1.5061326,-1.4608815,matched (3)
70,-1.414287,-1.5884006,matched (3)
71,-1.2179257,-1.5562166,matched (3)
72,-1.7616661,-1.5134608,matched (3)
73,-1.6633459,-1.4184226,matched (3)
74,-1.6872368,-1.5076045,matched (3)
75,-1.9984863,-1.5165292,matched (3)
76,-1.8354049,-1.5890503,matched (3)
