age,mean_wage_MH0_age,mean_wage_MH1_age,_merge
25,9.3834572,9.5083628,matched (3)
26,9.840519,9.9589481,matched (3)
27,9.8757582,10.067475,matched (3)
28,10.312251,10.330173,matched (3)
29,10.712106,10.857152,matched (3)
30,10.672826,11.398105,matched (3)
31,10.999681,11.94005,matched (3)
32,11.552664,12.222597,matched (3)
33,11.790038,12.424261,matched (3)
34,12.075875,12.263013,matched (3)
35,12.29773,12.805392,matched (3)
36,12.564272,12.91452,matched (3)
37,12.760115,13.195507,matched (3)
38,12.766909,13.203973,matched (3)
39,12.768469,13.207059,matched (3)
40,12.935915,13.40459,matched (3)
41,12.741555,13.113536,matched (3)
42,12.975665,13.241043,matched (3)
43,12.874769,13.507006,matched (3)
44,12.99393,13.184961,matched (3)
45,12.909969,13.542729,matched (3)
46,12.826916,13.391204,matched (3)
47,12.790644,13.231472,matched (3)
48,12.720224,13.189023,matched (3)
49,12.683123,13.240873,matched (3)
50,12.888864,13.109948,matched (3)
51,12.42877,13.467822,matched (3)
52,12.612436,13.437783,matched (3)
53,12.248545,13.261405,matched (3)
54,12.383937,13.099151,matched (3)
55,12.470134,12.997057,matched (3)
56,12.231612,12.977805,matched (3)
57,12.213068,13.132601,matched (3)
58,11.800401,13.07077,matched (3)
59,11.504086,12.746124,matched (3)
60,11.634465,12.267892,matched (3)
61,11.480932,12.146709,matched (3)
62,11.383519,12.244318,matched (3)
63,11.09373,12.454404,matched (3)
64,12.058262,12.188544,matched (3)
65,12.370674,11.699719,matched (3)
66,11.821532,12.789239,matched (3)
67,11.05019,11.925262,matched (3)
68,16.180708,10.609261,matched (3)
69,9.8460169,10.357331,matched (3)
70,11.014414,11.437175,matched (3)
71,10.638717,10.076017,matched (3)
72,9.6346407,10.246367,matched (3)
73,10.183836,9.0181732,matched (3)
74,8.0626659,9.7595291,matched (3)
75,8.906271,9.9012928,matched (3)
76,9.4416456,10.475348,matched (3)
