age,var_log_lab_inc
25,.18577485
26,.19328533
27,.20949692
28,.21739723
29,.24868138
30,.24969774
31,.25555852
32,.26919013
33,.29569718
34,.29672346
35,.29651275
36,.29216608
37,.30239755
38,.30762023
39,.30935371
40,.29719058
41,.31136122
42,.31174344
43,.314098
44,.31663522
45,.30968967
46,.3156836
47,.32350466
48,.31281403
49,.32397321
50,.31437093
51,.30861089
52,.30280215
53,.29607326
54,.29870275
55,.3077755
56,.3040463
57,.30603611
58,.31017336
59,.32211137
60,.2931551
61,.31238753
62,.32893777
63,.34912315
64,.36385617
65,.40509742
66,.46303511
67,.45722681
68,.41974598
69,.34887302
70,.40663281
71,.46734378
72,.35332382
73,.39083326
74,.47384882
75,.43899244
76,.30760226
