age,wage,sd_wage,log_wage,sd_log_wage
25,9.455554,3.195821,2.1990883,.29841501
26,9.9052858,4.3516264,2.2359931,.31467876
27,9.9813795,3.5870457,2.2479675,.31523952
28,10.330049,3.8368359,2.2804284,.31867135
29,10.793507,4.386435,2.3152909,.34285799
30,11.095356,4.6084285,2.3412752,.34703135
31,11.534769,4.8247404,2.376539,.35952723
32,11.952898,5.4289851,2.4062483,.37242422
33,12.145759,5.2025552,2.42102,.37943888
34,12.189024,5.3626604,2.423878,.38150224
35,12.555498,5.9806724,2.445631,.39615443
36,12.756937,6.313355,2.46278,.39443737
37,13.020325,5.9274373,2.4807522,.40435395
38,13.012012,5.7610807,2.480916,.4055647
39,13.017,5.9781437,2.4808333,.40220192
40,13.204391,6.0667443,2.4911733,.41344512
41,12.968215,5.9304519,2.4729605,.41426107
42,13.149301,6.3593931,2.4826345,.41998574
43,13.26842,6.4377127,2.4903677,.42338485
44,13.113899,6.5162835,2.4770474,.4255878
45,13.280664,6.6894989,2.4889858,.42547324
46,13.169127,6.1981544,2.4840975,.42245948
47,13.075101,6.4649854,2.4736202,.42585832
48,13.023609,6.379456,2.4708254,.42333907
49,13.038661,6.656261,2.4659436,.43429312
50,13.027672,6.5012145,2.4673178,.43154064
51,13.073563,7.1696129,2.4661231,.43393183
52,13.108365,6.9284387,2.4698441,.43415216
53,12.882146,6.7830257,2.456841,.42422357
54,12.850341,6.8066397,2.4536867,.42636296
55,12.797307,6.7399793,2.4479125,.42917582
56,12.703212,6.6015558,2.4418929,.42653415
57,12.81576,7.4000745,2.4429421,.43541244
58,12.635918,7.020752,2.4331753,.42898175
59,12.339172,6.9046597,2.4098141,.42690188
60,12.057907,6.636106,2.3920851,.41368577
61,11.969087,6.6246929,2.3818955,.41801658
62,11.99542,8.0308914,2.3738215,.42910877
63,12.054429,7.4652967,2.3711779,.44886538
64,12.214753,7.9894505,2.3872616,.44180435
65,11.984776,7.1398263,2.3620918,.4607833
66,12.560161,8.8499012,2.3860753,.48944819
67,11.78429,7.9982657,2.3285401,.48011315
68,12.468595,13.138215,2.3467281,.49390754
69,10.272586,5.0786648,2.2417448,.395439
70,11.330574,8.7471323,2.2803757,.48051924
71,10.666079,6.5523419,2.2524552,.43782136
72,10.136569,5.1321702,2.2291319,.3893252
73,9.2208977,3.3848953,2.1632009,.33626252
74,9.5013103,5.7097006,2.1461918,.41973358
75,9.7806845,3.8205957,2.2170262,.35111839
