age,job_hours_decimal
25,.35722476
26,.3619169
27,.35702464
28,.35577038
29,.3545315
30,.35014531
31,.34950563
32,.34838271
33,.34451172
34,.34386939
35,.34042165
36,.34193844
37,.3439312
38,.34139952
39,.34346098
40,.34218889
41,.34373882
42,.34458947
43,.34426922
44,.34388575
45,.34759602
46,.3455961
47,.34709239
48,.34906814
49,.35078454
50,.34842083
51,.34597367
52,.3469047
53,.34727928
54,.34761044
55,.34394372
56,.34196079
57,.34159106
58,.33887273
59,.33822033
60,.33002567
61,.32895029
62,.33105209
63,.32458854
64,.32257402
65,.31599414
66,.30669421
67,.31054878
68,.2969355
69,.27144736
70,.28655171
71,.26295453
72,.28066668
73,.28937501
74,.27444446
75,.30450001
