age,correlation
76,.15125856
75,.17699626
74,.12558442
73,.092049561
72,.19372782
71,-.18833065
70,-.12416309
69,.027425945
68,-.15465361
67,-.044110648
66,.014923882
65,-.063450836
64,.036890943
63,.04521849
62,.032935217
61,.029719001
60,.031964622
59,.10251179
58,.093502685
57,.065861627
56,.070206612
55,.07077226
54,.05679052
53,.076062582
52,.065955155
51,.080004521
50,.027510099
49,.032096203
48,.036145952
47,.037570003
46,.043400206
45,.050703254
44,.038451504
43,.055858493
42,.048109271
41,.044223901
40,.063802011
39,.031534951
38,.052951775
37,.060136363
36,.048170641
35,.061847035
34,.022076115
33,.072968714
32,.082533993
31,.10741295
30,.095005386
29,.064549826
28,.033917475
27,.05939598
26,.082803532
25,.060360361
