age,p5,p10,p50,p90,p95
,,,,,
25,494.5,648.95996,1254.335,2000,2275.835
26,650,879.17004,2101.6599,3750,4341.6699
27,700,913,2686.6699,5301.3799,6046.6602
28,700,1010,2925.7551,6700,7831.6699
29,745.82996,1005.33,3233.5549,7904.0498,9570
30,735,1000,3400,8934.6699,10950
31,814.65997,1100,3582,10250,12538.78
32,850,1132.6,4005.8999,10970,13742.9
33,736.66998,1084,4282.2803,12100,15584
34,798,1098,4399.5,13018.34,16121.67
35,814.67004,1100,4659.7598,13643,17010.07
36,808,1190,4806.5,14527,18446.67
37,830,1170,4882,15229.34,19046
38,850,1188.22,4819,15658,19008
39,812.89001,1200,4908.3301,15623.13,19384
40,866.66998,1200,4844.9199,15783,19967.461
41,750,1100,4721,16300,19931.33
42,823,1128.17,4684,16446.91,19865
43,850,1200,4931.04,16090,21231.67
44,801.67004,1170,4826.1499,15921,21100
45,985.41504,1350.3149,5331.1602,16321.415,20675
46,943.33997,1297.115,5444.5552,17474.645,22086.164
47,899.16998,1248,5506.29,17669,22267
48,875.33002,1230,5390.9297,17361.869,22348
49,900,1300,5409.5,17300,22665.83
50,909,1279.42,5620,17624.439,22620
51,957.66998,1290,5613.25,17331,22491
52,975,1334.39,5751,17709.25,22120
53,923,1337.17,5864.2798,17433.15,22067.67
54,930,1340.35,5845,17602.336,22835.33
55,884,1320,6066.6602,17772,22466
56,937.33496,1369.835,6009,17570.875,21808.84
57,931.67004,1300,5995.0298,17815.439,21480
58,950,1330.33,6028.5,17602.561,22360.609
59,817,1221.5,5713.4453,16579.406,20942
60,900,1256.67,5804,16085,21071
61,953.33002,1300,5555,16192.31,20700
62,754.20001,1122.335,5704.4951,16319.385,20438.891
63,770,1161.33,5531,16448,21539
64,700,1042,4909.3301,16253.33,19869
65,622.29999,954,5287.2002,15516.67,21744
66,650,1031.33,5230,16279.25,21021.93
67,450,792.5,3960,15168.335,20720.92
68,620,900,4079.54,13094.08,19075.08
69,429,720,3518,13999,18690
70,493,732.32996,4055.29,10225.99,18928.59
71,433.32999,847,3514,13075.75,21050
72,390,780,3369.835,11281.16,15975.3
73,338,555,2535.125,9160,11662.04
74,270,391.07999,1730.33,8730,9384
75,455,567,2863.7651,7639.4697,10537.5
76,400,850,3034.585,9610.1797,11757.33
