age,p5,p10,p50,p90,p95
,,,,,
25,494.5,648.95996,1250,2000,2234.665
26,520,700,1300,2078.72,2491.6699
27,500,666.98999,1330,2105,2400
28,492,693.33002,1368.5601,2145,2600
29,487.5,650,1400,2300,2706
30,528.66998,698,1423,2400,2800
31,537,704.16998,1500,2522,2971
32,540,700,1516.67,2600,3076.6699
33,519.40002,680,1500,2707.8201,3235
34,511.32999,693.33002,1500,2786,3300
35,528,670,1503.415,2800,3300
36,539,700,1599.5,2833.3301,3333.3301
37,550.33002,701,1600,2900,3500
38,533,720,1600,2920,3480.28
39,541.66998,704.16998,1600,2946.6699,3500
40,580,758.33002,1600,3000,3600
41,550,719,1600,3000,3603.8701
42,566,736.66998,1600,3000,3600
43,573,730,1600,3000,3733
44,563.33002,727,1600,3037,3750
45,600,758.33002,1637,3100,3800
46,563.33002,753.5,1600,3097.6602,3800
47,567.66998,736.66998,1600,3100,3900
48,595.83002,740,1599.3101,3034.3301,3740
49,557.91998,723,1594.5,3100,4000
50,583.91998,756.60999,1596,3100,3800
51,600,754,1552.1499,3041.6699,3728.8301
52,614.25,777.27002,1594.8701,3006.8799,3700
53,600,750,1516.67,2927,3638.3701
54,595.83002,739.57501,1538.325,3000,3700
55,585,740,1500,3000,3600
56,583.16504,746,1494,2992,3563.665
57,546,706,1450,2925,3560
58,550,702,1406.86,2900,3541.6699
59,505.75,650,1386.67,2845,3400
60,520,658,1300,2666.6699,3300
61,500,635,1300,2624,3333.3301
62,481,603.33496,1299,2613.5,3250
63,450,590,1295.15,2585,3400
64,433.32999,542.20001,1250,2614.1599,3300
65,390,480,1191.67,2640,3300
66,400,450,1100,2708.3301,3960
67,378,430.14499,1000,2581.4951,3800
68,361.82999,437,972,2333.3301,3200
69,327,390,850,1900,2500
70,306,360,855,1804.85,2700
71,300,355.32999,770,2499.23,3283.5
72,300,340,790,1583.33,2275
73,290,301,817.5,1796.9301,2110.3301
74,260,303.32999,703.5,1600,1927.72
75,245,393,689.83496,1665.3,1777.67
76,267.57999,430,732,1351.37,1668.33
