age,job_hours_decimal,sd_job_hours_decimal,log_hours,sd_log_hours
25,.34816301,.084272884,3.5097277,.31080577
26,.34850639,.083050765,3.5126452,.30183288
27,.34780213,.08437144,3.5101984,.30249244
28,.34585768,.085272186,3.5034795,.30634439
29,.34371787,.089315638,3.4935105,.31911725
30,.34284732,.088831052,3.4906862,.32117197
31,.34564811,.090133131,3.4988594,.32073021
32,.34144616,.088612631,3.4864838,.32134101
33,.33561102,.092271738,3.46456,.33650526
34,.33698273,.097214095,3.4667134,.33980787
35,.33074042,.095612265,3.4466901,.34514076
36,.33355987,.094842672,3.458755,.33096629
37,.33496609,.092332557,3.4640768,.32924563
38,.33547091,.092492588,3.4662516,.32572645
39,.33482841,.091913551,3.4626706,.33504176
40,.33816859,.089633636,3.4779172,.31247491
41,.33738992,.092980504,3.4723959,.32424873
42,.33442685,.093935519,3.4622412,.32867274
43,.33539271,.093352683,3.4651899,.32970625
44,.3369135,.092336513,3.4722197,.31902751
45,.34160081,.091235764,3.4879837,.31290752
46,.3396945,.091339603,3.4809601,.3193211
47,.33958617,.090238109,3.4813583,.31713402
48,.34137261,.089915901,3.4869504,.316342
49,.34192851,.091731235,3.4864769,.32532308
50,.34127128,.088461764,3.4868081,.31786737
51,.34135324,.087908581,3.4884472,.31140557
52,.34217364,.089898728,3.4897075,.31551179
53,.33951139,.089178614,3.4803624,.32283098
54,.33921126,.087843917,3.4815125,.3135713
55,.33769277,.090923458,3.4743702,.32201529
56,.33518618,.094535246,3.4632845,.33430293
57,.33146265,.09535975,3.4487805,.34673849
58,.32902759,.094653256,3.4420998,.34344637
59,.32367545,.096229404,3.4226484,.35243696
60,.32122323,.099088319,3.4119999,.36049181
61,.31809339,.099181399,3.3995121,.37029344
62,.31644464,.10223375,3.3906291,.3808507
63,.313247,.1019558,3.3803236,.37975895
64,.30556032,.10515361,3.3467073,.40594441
65,.29068059,.11123275,3.2877369,.42061636
66,.27572989,.11053826,3.232868,.41985881
67,.27564815,.11586208,3.2255695,.43668211
68,.25405642,.10754842,3.1467717,.42478076
69,.25321168,.12063212,3.131459,.44582206
70,.23594445,.11095919,3.0554616,.46250919
71,.24812658,.13725966,3.0881667,.48767832
72,.23903847,.1268117,3.0471599,.50177687
73,.26249999,.13543244,3.1441522,.5023858
74,.24163043,.12043927,3.0702305,.48496193
75,.23546876,.11372264,3.0529606,.46778482
