age,mean_badMH
25,.48086292
26,.49060541
27,.47693351
28,.45721585
29,.46135554
30,.45675677
31,.45019531
32,.45513114
33,.45746103
34,.45014977
35,.46066043
36,.44040641
37,.45077521
38,.45464683
39,.44743544
40,.4403733
41,.43497604
42,.41758242
43,.42659187
44,.41663989
45,.42879847
46,.43285939
47,.42549205
48,.41474217
49,.42959058
50,.42214534
51,.4219892
52,.43219796
53,.42875278
54,.41366908
55,.42387769
56,.41827244
57,.41554961
58,.40721998
59,.38550135
60,.37898424
61,.35741711
62,.33578596
63,.3197014
64,.30737576
65,.29071584
66,.27349097
67,.27598897
68,.27108622
69,.25424263
70,.27808174
71,.27372262
72,.28207812
73,.28746292
74,.27898693
75,.2724525
76,.28090951
