age,var_log_lab_inc,var_log_cum_lab_inc,_merge
25,.18600234,.19286856,matched (3)
26,.19427793,.33332452,matched (3)
27,.21104452,.47411293,matched (3)
28,.21849476,.53589225,matched (3)
29,.24808611,.65055341,matched (3)
30,.24970102,.7271359,matched (3)
31,.25685531,.73508561,matched (3)
32,.26844516,.76038104,matched (3)
33,.29548687,.87615746,matched (3)
34,.29697597,.88151282,matched (3)
35,.29622,.92164278,matched (3)
36,.29344115,.94386685,matched (3)
37,.30315596,.9648726,matched (3)
38,.30924529,.97081643,matched (3)
39,.30880362,.97429371,matched (3)
40,.29740658,.97086298,matched (3)
41,.31115282,1.0195345,matched (3)
42,.31307897,.98662102,matched (3)
43,.31427255,.96490341,matched (3)
44,.31874588,.97233915,matched (3)
45,.31010225,.92141575,matched (3)
46,.31557605,.95547473,matched (3)
47,.32383618,.98735219,matched (3)
48,.31202871,.97300416,matched (3)
49,.32473788,.98254651,matched (3)
50,.31464911,.97327977,matched (3)
51,.30780903,.96411073,matched (3)
52,.30274841,.93749338,matched (3)
53,.29690245,.9610669,matched (3)
54,.29851207,.95424551,matched (3)
55,.3065424,.98951399,matched (3)
56,.30440605,.96395856,matched (3)
57,.30700076,.97102273,matched (3)
58,.3095907,.94422084,matched (3)
59,.32129198,.9871608,matched (3)
60,.29397446,.93282455,matched (3)
61,.31209171,.91949648,matched (3)
62,.32823032,1.0271759,matched (3)
63,.34959984,1.0560378,matched (3)
64,.36194673,1.0963292,matched (3)
65,.40244484,1.1756717,matched (3)
66,.46232697,1.1644108,matched (3)
67,.46129522,1.3033755,matched (3)
68,.42359748,1.0636189,matched (3)
69,.34951645,1.2461954,matched (3)
70,.40663281,1.1428354,matched (3)
71,.45671952,1.1817486,matched (3)
72,.35332382,1.097875,matched (3)
73,.39083326,1.1053256,matched (3)
74,.47384882,1.1933968,matched (3)
75,.43264526,1.0688682,matched (3)
76,.31459281,,master only (1)
