age,correlation
76,.089707792
75,.22582136
74,.095555142
73,.12607887
72,.17683147
71,-.12904656
70,-.12089786
69,.064126857
68,-.17685501
67,-.029502295
66,.0083567752
65,-.04651203
64,.016386069
63,.040109225
62,.026528537
61,.027190207
60,.021843877
59,.098795593
58,.099112168
57,.051972277
56,.076745719
55,.077898733
54,.056115866
53,.076730676
52,.062568031
51,.079658747
50,.026722156
49,.029661134
48,.040227797
47,.045718223
46,.041990437
45,.04524846
44,.037276335
43,.06305071
42,.039111666
41,.046499796
40,.0552371
39,.03422616
38,.051835518
37,.051847439
36,.046754882
35,.062218592
34,.028633194
33,.078410394
32,.089029312
31,.097403243
30,.084643543
29,.058409538
28,.036613539
27,.06119981
26,.091677517
25,.066900693
