wage,log_wage,job_hours,log_hours,labor_earnings,log_labor_earnings,mental_health,physical_health,MH,PH
1,1,1,1,1,1,1,1,1,1
.00079057761,.64287746,.80653185,.59786803,.91594213,.93274963,.64337415,.79554242,.50534683,.57539809
.03751364,.68921429,.77671546,.66094321,.87548745,.89355284,.62478811,.76999664,.47051477,.5603413
.038829301,.674393,.75168103,.62084836,.87255907,.86964345,.57272023,.73317754,.4260492,.54395765
.038826365,.68976617,.75196636,.62810153,.84990418,.85397875,.54213899,.70913565,.41798997,.52569634
.024729524,.62817055,.68125975,.55829024,.82490492,.8413403,.51449865,.6690588,.36764807,.49934641
.034271244,.63940048,.67556936,.55086911,.826442,.81250113,.50210464,.66126776,.37123236,.47890088
.019678537,.57842225,.59819478,.47029045,.76260513,.77192247,.49330741,.62489879,.34788999,.41215441
.031290971,.58738208,.58002931,.46144909,.78458077,.76340574,.49339223,.6210767,.3739031,.41351357
.024747498,.58292991,.54964215,.45780846,.75314665,.73234767,.47428161,.61066824,.35307881,.42547941
.018573225,.55537856,.52204341,.42209208,.75031501,.72225988,.448755,.59765369,.33602452,.40475121
