wage,log_wage,job_hours,log_hours,labor_earnings,log_labor_earnings,mental_health,physical_health,MH,PH
1,1,1,1,1,1,1,1,1,1
.15254417,.74452949,.83238387,.77681243,.89598048,.91120279,.60314071,.76774007,.46528962,.54700643
.062963158,.71427447,.77900624,.71391678,.87165219,.87925315,.56907243,.73495811,.43127194,.51861441
.0062053115,.67171448,.73032564,.64841413,.8470611,.84910101,.54243737,.70752972,.41000393,.49650234
.0093285348,.66296393,.69467866,.62170982,.82445061,.82004106,.51915103,.68702102,.39191315,.47808251
.010716982,.63522929,.65412527,.57144755,.80781144,.79535931,.49918133,.66652995,.37421316,.45790869
.0076909,.61195356,.62050283,.53038973,.7866053,.76974499,.48768091,.65461421,.37129483,.44656152
.0055861589,.59134501,.58188879,.49593195,.76596278,.73865646,.48140183,.6406464,.35466537,.43150991
.0051767146,.58226544,.55284441,.46214238,.74916202,.71764916,.46310481,.62916815,.34688842,.42259774
.002652732,.55234748,.51687038,.42912784,.72985381,.68644804,.43794727,.61815095,.32897484,.42028463
.0003409558,.5000186,.49585283,.37206906,.71764487,.66307086,.41985741,.60879141,.32351512,.41117692
