age,correlation
76,.14402896
75,.2572858
74,.071628585
73,.14123279
72,.16759183
71,-.066373691
70,-.11176004
69,-.047183301
68,-.16765109
67,.0075472291
66,.0058968524
65,-.029510617
64,.018488288
63,.054328244
62,.027515434
61,.027062036
60,.033803903
59,.08063899
58,.080189794
57,.045069791
56,.057547845
55,.044047229
54,.045349192
53,.076108322
52,.061755549
51,.070305303
50,.018021323
49,.04490428
48,.022533024
47,.05793047
46,.039063916
45,.04524463
44,.05686073
43,.037461672
42,.040249236
41,.044099525
40,.053443626
39,.043328747
38,.041970424
37,.052381754
36,.044632573
35,.048283514
34,.022812698
33,.073538736
32,.062768154
31,.10923822
30,.095437527
29,.090566762
28,.030863967
27,.093415968
26,.090429194
25,.086550482
