age,labor_earnings,sd_labor_earnings,log_labor_earnings,sd_log_labor_earnings
25,1305.0222,529.24396,7.0842123,.44839165
26,1360.6687,590.07202,7.1159959,.47574353
27,1381.5029,608.8725,7.1231732,.49643731
28,1425.9392,652.22607,7.1541476,.49098191
29,1485.7365,763.49719,7.1735268,.53978229
30,1510.5758,773.48145,7.1855879,.55453849
31,1579.2395,801.21838,7.2279983,.56304455
32,1613.9392,838.76776,7.2422695,.57882804
33,1631.9797,891.37646,7.2416258,.59729272
34,1651.417,894.25433,7.2622056,.56623399
35,1645.2919,896.92212,7.2524037,.5846144
36,1679.256,917.44806,7.2658482,.60671026
37,1724.902,949.74133,7.2914114,.6078018
38,1744.7952,962.83319,7.3069,.59313536
39,1740.1124,960.67346,7.3013635,.60165673
40,1782.3783,989.72168,7.3325844,.57846147
41,1746.3317,974.41437,7.3042097,.59908104
42,1743.2911,982.90955,7.2999358,.60127854
43,1764.1199,991.66565,7.3124208,.60192811
44,1764.4456,1006.4001,7.3134089,.59272623
45,1809.5437,1029.3285,7.340373,.5908727
46,1786.0958,1031.4849,7.3206806,.60669869
47,1777.9041,1063.6188,7.3113999,.61170834
48,1773.4507,1043.4326,7.314631,.60106695
49,1772.7081,1059.6428,7.3077188,.61325246
50,1777.1583,1045.0581,7.3190374,.59301519
51,1769.0587,1090.1101,7.3121538,.59385896
52,1775.9259,1044.6342,7.3226776,.58306557
53,1730.892,974.97375,7.3030634,.57465535
54,1725.1741,1012.999,7.293026,.58441579
55,1712.9359,1026.0282,7.2812419,.59443247
56,1683.1627,989.11176,7.2672806,.58520842
57,1653.927,1004.6896,7.2426014,.60037118
58,1634.2041,976.69604,7.2326798,.59313041
59,1567.4636,943.99927,7.1835475,.61011899
60,1505.3433,904.59558,7.1498742,.59965479
61,1462.1537,939.35931,7.0986814,.64094132
62,1456.4083,961.96735,7.0858126,.65427333
63,1447.5775,979.27087,7.0671115,.68302435
64,1395.3916,947.57867,7.0227447,.69162935
65,1313.2389,958.18451,6.9413304,.71283454
66,1264.8804,1065.0868,6.8427935,.79118907
67,1217.6906,1027.1582,6.8174014,.75671697
68,1096.5551,885.64899,6.7304993,.74820697
69,902.03333,742.12549,6.5211644,.78505695
70,936.14886,745.91302,6.5797515,.7343536
71,931.06854,911.96143,6.5289836,.76045316
72,866.44727,722.01208,6.4785895,.78049898
73,833.45886,653.24841,6.492732,.67267132
74,786.55719,827.08911,6.2988482,.88930076
75,721.56293,663.08789,6.2660794,.79704332
