age,emp,sd_emp
25,.69862068,.4590154
26,.70947802,.45415926
27,.70387703,.45669857
28,.70328283,.45695505
29,.71579564,.45116711
30,.72148544,.44838697
31,.75036007,.43290856
32,.74342704,.43684068
33,.74132633,.43800214
34,.74545455,.43569753
35,.74909675,.43361998
36,.74779946,.43435887
37,.76049942,.42685944
38,.7635234,.42499581
39,.77976406,.41447979
40,.78163266,.41320834
41,.79142761,.4063566
42,.79790372,.40162945
43,.80110317,.39923501
44,.80412042,.39693916
45,.80495453,.39629784
46,.80645162,.39514029
47,.80937785,.39285192
48,.81265509,.39024869
49,.8023079,.3983191
50,.80581325,.3956345
51,.79781932,.40168884
52,.78750396,.4091388
53,.76899034,.42154449
54,.759009,.42775369
55,.71953952,.44929609
56,.70313519,.45695108
57,.6745562,.46861747
58,.62985075,.48292455
59,.58770764,.49232906
60,.51498449,.49986151
61,.45259938,.49783269
62,.38961464,.48774251
63,.3121424,.46344125
64,.26060045,.43903017
65,.16178736,.36831239
66,.1117575,.31511611
67,.093693145,.29144552
68,.07054837,.25610837
69,.055521093,.22903006
70,.042478442,.20171024
71,.032002639,.17603606
72,.033933517,.18108945
73,.022500923,.14833322
74,.023996852,.15306933
75,.021850899,.1462279
