age,mean_earnings_MH0_age,mean_earnings_MH1_age,_merge
25,1265.04,1336.3462,matched (3)
26,1302.4061,1410.848,matched (3)
27,1340.1804,1415.0731,matched (3)
28,1396.9982,1445.6261,matched (3)
29,1432.6418,1523.1626,matched (3)
30,1432.3527,1565.3319,matched (3)
31,1488.9352,1646.6398,matched (3)
32,1525.2393,1676.7683,matched (3)
33,1549.3727,1691.0807,matched (3)
34,1620.5713,1672.6603,matched (3)
35,1580.2528,1693.1486,matched (3)
36,1627.0905,1714.5103,matched (3)
37,1665.8406,1765.9362,matched (3)
38,1685.4402,1786.7412,matched (3)
39,1700.5959,1767.4583,matched (3)
40,1713.8197,1825.9532,matched (3)
41,1689.4454,1782.4059,matched (3)
42,1694.0817,1773.3113,matched (3)
43,1684.3926,1813.1346,matched (3)
44,1716.1708,1793.5873,matched (3)
45,1750.7715,1846.4393,matched (3)
46,1732.1996,1820.8895,matched (3)
47,1715.7743,1815.9481,matched (3)
48,1718.3103,1805.3915,matched (3)
49,1732.2457,1797.1132,matched (3)
50,1741.1053,1798.7814,matched (3)
51,1657.5908,1836.6807,matched (3)
52,1692.2023,1826.9307,matched (3)
53,1632.9351,1788.002,matched (3)
54,1649.0999,1767.6328,matched (3)
55,1608.5159,1774.0868,matched (3)
56,1583.8744,1741.1722,matched (3)
57,1583.7507,1692.7604,matched (3)
58,1500.6775,1704.3458,matched (3)
59,1433.9691,1632.5829,matched (3)
60,1476.7942,1519.0106,matched (3)
61,1423.595,1479.0597,matched (3)
62,1416.7394,1472.8116,matched (3)
63,1384.79,1472.1234,matched (3)
64,1367.589,1404.0527,matched (3)
65,1394.5966,1288.8718,matched (3)
66,1249.4569,1270.0028,matched (3)
67,1278.6935,1202.6858,matched (3)
68,1421.6056,1021.4089,matched (3)
69,816.32239,928.30969,matched (3)
70,1114.1566,890.80725,matched (3)
71,1228.6738,885.01062,matched (3)
72,589.18237,924.63861,matched (3)
73,668.40002,873.88141,matched (3)
74,598.15002,819.16614,matched (3)
75,421.35101,794.78534,matched (3)
76,640.73248,817.9953,matched (3)
