age,mean_earnings_MHT0_age,mean_earnings_MHT1_age,_merge
25,1269.011,1347.4612,matched (3)
26,1321.9862,1406.6451,matched (3)
27,1322.951,1446.5085,matched (3)
28,1363.349,1488.7545,matched (3)
29,1402.1188,1568.6711,matched (3)
30,1429.058,1592.3336,matched (3)
31,1493.4081,1669.9271,matched (3)
32,1534.1582,1694.5023,matched (3)
33,1531.9474,1729.2074,matched (3)
34,1580.0541,1718.0067,matched (3)
35,1557.5011,1727.967,matched (3)
36,1591.9779,1758.8483,matched (3)
37,1638.2573,1806.3612,matched (3)
38,1690.3859,1797.2101,matched (3)
39,1679.2344,1800.269,matched (3)
40,1726.3538,1834.7245,matched (3)
41,1666.6842,1819.2767,matched (3)
42,1648.3986,1828.2883,matched (3)
43,1698.1095,1824.2546,matched (3)
44,1672.903,1847.5221,matched (3)
45,1732.0084,1877.7134,matched (3)
46,1736.0503,1831.9371,matched (3)
47,1692.7527,1851.7942,matched (3)
48,1714.1375,1826.0168,matched (3)
49,1725.1658,1814.3119,matched (3)
50,1706.5652,1839.8738,matched (3)
51,1694.6455,1835.9148,matched (3)
52,1702.1099,1841.4904,matched (3)
53,1657.9501,1796.0847,matched (3)
54,1652.3483,1786.2501,matched (3)
55,1655.7819,1762.9457,matched (3)
56,1604.8755,1753.1185,matched (3)
57,1576.3226,1723.6344,matched (3)
58,1523.6251,1730.7153,matched (3)
59,1479.0654,1646.1343,matched (3)
60,1424.9305,1575.3899,matched (3)
61,1406.3817,1511.3087,matched (3)
62,1389.4181,1513.903,matched (3)
63,1400.5963,1487.3174,matched (3)
64,1381.1553,1406.1281,matched (3)
65,1324.5593,1303.9945,matched (3)
66,1322.2107,1215.9896,matched (3)
67,1268.3105,1177.8969,matched (3)
68,1218.4692,995.12238,matched (3)
69,958.73083,851.90082,matched (3)
70,985.86902,891.4007,matched (3)
71,873.47784,975.04688,matched (3)
72,695.01959,1024.4296,matched (3)
73,622.00519,980.3017,matched (3)
74,728.50775,819.3031,matched (3)
75,426.23178,869.22852,matched (3)
76,576.00665,909.4458,matched (3)
