age,mean_hours_MH0_age,mean_hours_MH1_age,_merge
25,.33695507,.34982571,matched (3)
26,.33300209,.35344324,matched (3)
27,.33322245,.34894493,matched (3)
28,.33588469,.34516743,matched (3)
29,.32883731,.34570628,matched (3)
30,.32719463,.34088251,matched (3)
31,.33487126,.34192178,matched (3)
32,.32893825,.34040728,matched (3)
33,.32349858,.33493596,matched (3)
34,.33098471,.33388314,matched (3)
35,.31919974,.3289814,matched (3)
36,.32059771,.33007291,matched (3)
37,.31975001,.33111045,matched (3)
38,.32334566,.33385295,matched (3)
39,.32381615,.33198139,matched (3)
40,.32773796,.33581921,matched (3)
41,.32733297,.33545506,matched (3)
42,.3238765,.33176801,matched (3)
43,.32360533,.33355266,matched (3)
44,.32517383,.33686474,matched (3)
45,.33406365,.33868802,matched (3)
46,.33228236,.33361834,matched (3)
47,.32905781,.3352851,matched (3)
48,.3315796,.33667871,matched (3)
49,.33439839,.33503035,matched (3)
50,.33152404,.33806384,matched (3)
51,.33042607,.3367064,matched (3)
52,.33283618,.33987492,matched (3)
53,.33153862,.33549228,matched (3)
54,.32909232,.33563408,matched (3)
55,.32081708,.33751163,matched (3)
56,.32213727,.33249891,matched (3)
57,.32561833,.32278046,matched (3)
58,.31889144,.32325542,matched (3)
59,.30707586,.31888226,matched (3)
60,.31217974,.31308606,matched (3)
61,.30757388,.30135852,matched (3)
62,.30482808,.29906872,matched (3)
63,.30785146,.29152265,matched (3)
64,.28791499,.28301403,matched (3)
65,.27580166,.26922524,matched (3)
66,.24934067,.24119343,matched (3)
67,.26163936,.24556452,matched (3)
68,.22523256,.22341935,matched (3)
69,.2075,.20748176,matched (3)
70,.24666667,.1899717,matched (3)
71,.25730768,.20710714,matched (3)
72,.16323529,.20814815,matched (3)
73,.16333334,.22438775,matched (3)
74,.17388889,.19925,matched (3)
75,.092,.18829268,matched (3)
76,.16500001,.19796875,matched (3)
