age,mean_log_wage_MH0_age,mean_log_wage_MH1_age,_merge
25,2.210192,2.215162,matched (3)
26,2.2301831,2.2579679,matched (3)
27,2.2683036,2.2678034,matched (3)
28,2.2791276,2.3028824,matched (3)
29,2.3210487,2.3273041,matched (3)
30,2.3404522,2.3674781,matched (3)
31,2.3461146,2.4152584,matched (3)
32,2.3732128,2.4280374,matched (3)
33,2.3948698,2.4479554,matched (3)
34,2.4149599,2.4554293,matched (3)
35,2.4297264,2.4757378,matched (3)
36,2.4529788,2.4750938,matched (3)
37,2.48435,2.5050583,matched (3)
38,2.4718211,2.5094867,matched (3)
39,2.4925456,2.4937,matched (3)
40,2.4899094,2.5156939,matched (3)
41,2.459219,2.4853699,matched (3)
42,2.4736784,2.4908781,matched (3)
43,2.4784865,2.5089805,matched (3)
44,2.4712558,2.4909198,matched (3)
45,2.4706323,2.5124373,matched (3)
46,2.4731367,2.5112278,matched (3)
47,2.4588323,2.5024219,matched (3)
48,2.4657648,2.4909623,matched (3)
49,2.4615905,2.4869959,matched (3)
50,2.4725416,2.4876192,matched (3)
51,2.4564166,2.4994736,matched (3)
52,2.4464033,2.4940262,matched (3)
53,2.4293082,2.4973941,matched (3)
54,2.4369388,2.4801764,matched (3)
55,2.4400945,2.4747083,matched (3)
56,2.420821,2.4861066,matched (3)
57,2.4218986,2.4794688,matched (3)
58,2.3903632,2.4791229,matched (3)
59,2.3763785,2.4551375,matched (3)
60,2.3902264,2.4171944,matched (3)
61,2.3840005,2.4192622,matched (3)
62,2.3870878,2.4271376,matched (3)
63,2.3617394,2.4353938,matched (3)
64,2.4170189,2.4393368,matched (3)
65,2.4220572,2.3975337,matched (3)
66,2.4151204,2.4693754,matched (3)
67,2.3707004,2.4062393,matched (3)
68,2.5887544,2.4097383,matched (3)
69,2.2810085,2.3860543,matched (3)
70,2.3438482,2.4531682,matched (3)
71,2.3853898,2.3133149,matched (3)
72,2.1878924,2.4168463,matched (3)
73,2.2962248,2.330734,matched (3)
74,2.1168432,2.2987018,matched (3)
75,2.4264805,2.3178329,matched (3)
76,2.1874306,2.2503583,matched (3)
