age,wage,sd_wage,log_wage,sd_log_wage
25,10.061104,10.884671,2.2129786,.34741893
26,10.118123,5.2430272,2.2451112,.33681604
27,13.369462,87.950249,2.2680275,.40627393
28,10.788875,7.6895046,2.2932653,.35987395
29,11.084555,6.1561918,2.3247178,.36710209
30,11.610672,8.0767183,2.3563497,.38641083
31,11.850793,7.1305776,2.3857074,.38327008
32,11.990058,5.7226505,2.4053054,.37947497
33,12.492352,10.256025,2.4258153,.39990938
34,15.909383,139.08469,2.4389248,.43472299
35,12.971377,9.1580105,2.4562335,.41939807
36,12.924992,7.4159818,2.4661753,.40827233
37,13.932496,15.622278,2.4965689,.44958067
38,16.769201,112.69975,2.4938903,.45743027
39,15.424323,67.24025,2.493228,.45222399
40,16.006474,105.16054,2.5056741,.45991531
41,13.18029,8.3506308,2.4752219,.42849684
42,13.242294,6.7750196,2.4843655,.42837998
43,15.884246,120.70834,2.497371,.45486057
44,13.31283,7.5865593,2.4835176,.43660396
45,13.793069,18.228487,2.4963148,.44328809
46,15.788343,96.879715,2.4962842,.46951249
47,15.366544,75.793938,2.4858775,.47066566
48,13.48112,9.6091261,2.48172,.45030233
49,13.634391,11.224723,2.4774377,.46820626
50,14.442263,46.020088,2.4819665,.47098297
51,17.701151,161.12035,2.4832158,.48420593
52,13.331435,8.2592983,2.4759972,.44632751
53,15.253431,87.399269,2.4723186,.46956113
54,13.937472,29.228806,2.4646885,.46157491
55,13.549143,16.225676,2.4619243,.46347132
56,15.379096,92.224251,2.4620302,.47888997
57,16.46867,107.39178,2.4589601,.49011913
58,13.14772,9.6607656,2.4485548,.45724982
59,12.933572,9.5433044,2.4293149,.46083498
60,12.627506,10.174471,2.4084637,.4465214
61,12.881192,13.78771,2.4085143,.46733922
62,15.918625,75.354462,2.4154215,.53422958
63,18.154366,151.71446,2.4146926,.55074501
64,19.408186,160.24261,2.4340358,.56043971
65,19.409985,151.07468,2.4031856,.56578982
66,14.450837,14.014261,2.4558487,.57815057
67,14.483421,22.235708,2.3992236,.59317601
68,16.449816,36.323486,2.4433527,.61809999
69,13.682135,17.395754,2.3614066,.58242494
70,15.463909,19.331156,2.4309754,.65691024
71,12.700792,15.874046,2.3229744,.5413844
72,21.564449,77.466995,2.3771298,.73363721
73,12.124,11.25321,2.3239453,.50241852
74,12.739991,18.993561,2.2718701,.57387865
75,11.786674,7.7328024,2.3391364,.47020388
