age,MH_type_0_P2P,MH_type_0_P2G,MH_type_0_G2P,MH_type_0_G2G,MH_type_1_P2P,MH_type_1_P2G,MH_type_1_G2P,MH_type_1_G2G
25,.79295224,.20704775,.65852928,.34147075,.39846924,.60153073,.18823436,.81176561
26,.81004012,.18995987,.66891181,.33108819,.32760075,.67239922,.20446239,.79553759
27,.74376756,.25623241,.622711,.37728897,.16558649,.83441353,.20848684,.79151314
28,.81660819,.18339178,.7680667,.23193327,.38379142,.61620855,.2279717,.77202833
29,.79599524,.20400479,.67727232,.32272768,.37505296,.62494701,.26056281,.73943722
30,.78060317,.21939681,.5670051,.4329949,.43247387,.5675261,.1767801,.8232199
31,.76329476,.23670523,.75900537,.2409946,.35356897,.64643103,.19646151,.8035385
32,.80189472,.19810528,.6715914,.32840863,.44060606,.55939394,.19768937,.80231065
33,.77418607,.22581391,.75938028,.24061969,.29675508,.70324492,.2090921,.79090792
34,.81567556,.18432444,.77054799,.22945203,.34491917,.65508085,.20956491,.79043508
35,.82853436,.17146564,.7783553,.22164468,.38174143,.61825854,.20793775,.79206222
36,.83816749,.16183253,.72353309,.27646691,.36088061,.63911939,.19323905,.80676097
37,.83786291,.16213712,.7253046,.2746954,.37779674,.62220329,.22756357,.77243644
38,.81844705,.18155296,.66184282,.33815718,.3996008,.6003992,.18407848,.81592155
39,.84874833,.15125164,.45257843,.54742157,.3701604,.6298396,.19495948,.80504054
40,.80896765,.19103238,.69692206,.30307797,.34591296,.65408701,.17123534,.82876468
41,.82812494,.17187503,.70916057,.29083946,.45784837,.54215163,.16612478,.83387524
42,.82502115,.17497887,.70113623,.29886377,.33543015,.66456985,.16018008,.83981991
43,.82827365,.17172632,.76193082,.23806915,.31566101,.68433899,.16334751,.83665252
44,.80168581,.1983142,.62438375,.37561622,.33675203,.663248,.17576537,.8242346
45,.80465901,.19534101,.73428231,.26571769,.35467815,.64532185,.18124026,.81875974
46,.81809151,.18190849,.62687892,.37312108,.42297319,.57702684,.18981756,.81018245
47,.74278247,.2572175,.73181123,.2681888,.37420833,.62579167,.17611593,.82388407
48,.85499108,.14500895,.64816475,.35183525,.36239907,.63760096,.17379503,.82620496
49,.82152247,.1784775,.48670688,.51329309,.35778603,.642214,.18952899,.810471
50,.78685713,.21314289,.63625914,.36374089,.41294149,.58705848,.15345621,.84654379
51,.81723869,.18276133,.62548751,.37451252,.39415759,.60584241,.15512708,.84487295
52,.78421581,.21578422,.59694886,.40305117,.34003428,.65996569,.16985811,.8301419
53,.83427429,.16572572,.65024543,.34975454,.35138568,.64861429,.16172904,.83827096
54,.85508317,.14491685,.66027981,.33972019,.38217577,.61782426,.17439601,.82560402
55,.81828594,.18171403,.55942678,.44057319,.35767978,.64232022,.16215755,.83784246
56,.78960192,.21039809,.66307127,.33692876,.36402193,.6359781,.15673244,.84326756
57,.83023298,.16976701,.77246493,.22753508,.40348104,.59651899,.12834598,.87165403
58,.76493722,.23506278,.53912067,.46087933,.27109888,.72890115,.14586926,.85413074
59,.74688053,.2531195,.71992207,.28007793,.35901403,.64098597,.16636336,.83363664
60,.74240452,.25759548,.71714759,.28285244,.3268612,.6731388,.16037044,.83962953
61,.80989671,.19010328,.66135257,.33864743,.39928526,.60071474,.15315165,.84684837
62,.68868226,.31131774,.91385967,.08614032,.43125629,.56874371,.13014758,.86985242
63,.73068035,.26931962,.92744547,.072554514,.33739766,.66260231,.12060622,.87939376
64,.63992822,.36007181,.55083972,.44916025,.39509585,.60490412,.12871549,.87128454
65,.62679094,.37320906,1,0,.32162991,.67837012,.092229761,.90777022
66,.73726296,.26273701,.87364507,.12635493,.095929727,.90407026,.10356911,.89643091
67,1,0,.54995775,.45004228,0,1,.1243966,.87560338
68,.63830823,.36169174,0,1,.31819308,.68180692,.10558488,.89441514
69,1,0,.46429378,.53570622,.41368908,.58631092,.21120404,.78879595
70,.41263646,.58736354,,,.19635461,.80364537,.23991735,.76008266
71,1,0,1,0,0,1,.22050649,.77949351
72,,,,,,,.25604343,.74395657
73,,,,,,,0,1
74,,,,,,,0,1
75,,,,,,,0,1
