age,emp,sd_emp,_merge
25,.98045605,.13865291,matched (3)
26,.98337948,.1280221,matched (3)
27,.98275864,.13033016,matched (3)
28,.96781117,.17669101,matched (3)
29,.97222221,.16448793,matched (3)
30,.95156252,.21485679,matched (3)
31,.96504372,.18378392,matched (3)
32,.96296299,.18895864,matched (3)
33,.96908313,.17318478,matched (3)
34,.95816326,.20031817,matched (3)
35,.9620133,.19125494,matched (3)
36,.96253347,.18998685,matched (3)
37,.97299653,.16216412,matched (3)
38,.9844771,.12367058,matched (3)
39,.97747386,.14844678,matched (3)
40,.9822222,.13219181,matched (3)
41,.99768877,.04803836,matched (3)
42,.99196494,.089310281,matched (3)
43,.99561083,.066129476,matched (3)
44,.9920463,.088860407,matched (3)
45,.99645638,.05944353,matched (3)
46,.99303621,.083187215,matched (3)
47,.99365306,.07944265,matched (3)
48,.99574167,.065139979,matched (3)
49,.98915404,.10361522,matched (3)
50,.99566162,.065747231,matched (3)
51,.99122167,.093314826,matched (3)
52,.99702162,.054513745,matched (3)
53,.99534523,.06809333,matched (3)
54,.99755502,.049406469,matched (3)
55,.99285078,.084288061,matched (3)
56,.99439776,.074673034,matched (3)
57,.99063474,.096370123,matched (3)
58,.99251336,.086246952,matched (3)
59,.99265605,.085433841,matched (3)
60,.98942596,.10236228,matched (3)
61,.99426389,.075592063,matched (3)
62,.99374998,.078891724,matched (3)
63,.97916669,.14301248,matched (3)
64,.98489428,.12215826,matched (3)
65,.97076023,.1689727,matched (3)
66,.96694213,.17953107,matched (3)
67,.97560978,.15520673,matched (3)
68,.98387098,.12700012,matched (3)
69,.94736844,.22629428,matched (3)
70,.96551722,.18569534,matched (3)
71,.86363637,.35125008,matched (3)
72,1,0,matched (3)
73,1,0,matched (3)
74,.8888889,.33333334,matched (3)
75,1,0,matched (3)
