age,wage,sd_wage,_merge
25,12.697778,2.6672122,matched (3)
26,12.817032,3.2849214,matched (3)
27,13.058508,3.3555059,matched (3)
28,13.177089,3.5794222,matched (3)
29,13.663813,3.8412824,matched (3)
30,13.954095,4.1126828,matched (3)
31,14.178024,4.0251775,matched (3)
32,14.527372,4.3027649,matched (3)
33,14.844988,4.7701602,matched (3)
34,14.856502,4.4128695,matched (3)
35,15.215271,4.8226056,matched (3)
36,15.420069,4.641798,matched (3)
37,15.830694,5.1417265,matched (3)
38,15.717805,5.1043019,matched (3)
39,15.752686,5.1777291,matched (3)
40,16.059301,5.5976644,matched (3)
41,15.964897,5.4180007,matched (3)
42,16.028139,5.4788876,matched (3)
43,16.234858,5.7242007,matched (3)
44,16.218891,5.6284223,matched (3)
45,16.356646,5.8419666,matched (3)
46,16.177517,5.6840496,matched (3)
47,16.187672,5.8603621,matched (3)
48,16.220745,5.9843059,matched (3)
49,16.388308,6.2224054,matched (3)
50,16.29311,5.9117975,matched (3)
51,16.301296,6.1278362,matched (3)
52,16.215471,5.9706173,matched (3)
53,15.948843,5.7011876,matched (3)
54,15.870159,5.5471244,matched (3)
55,16.050926,5.7625813,matched (3)
56,15.953717,5.8396363,matched (3)
57,16.001963,5.7227731,matched (3)
58,15.743924,5.6941657,matched (3)
59,15.713492,5.7739825,matched (3)
60,15.097506,4.9575801,matched (3)
61,15.467428,5.8598104,matched (3)
62,15.329206,5.3531775,matched (3)
63,15.91795,6.34062,matched (3)
64,15.750466,5.6601453,matched (3)
65,16.444872,6.3659267,matched (3)
66,17.114374,7.4528885,matched (3)
67,17.324722,7.4127131,matched (3)
68,16.119549,7.5432429,matched (3)
69,14.220417,5.6932192,matched (3)
70,15.572019,8.0152521,matched (3)
71,14.262606,5.6638613,matched (3)
72,13.251897,3.9690561,matched (3)
73,12.26953,2.1560338,matched (3)
74,14.162912,4.2812972,matched (3)
75,12.118867,2.5150235,matched (3)
