age,MH_type_0_P2P,MH_type_0_P2G,MH_type_0_G2P,MH_type_0_G2G,MH_type_1_P2P,MH_type_1_P2G,MH_type_1_G2P,MH_type_1_G2G
25,.15233676,.84766322,.10761823,.89238179,.79614437,.20385562,.66179585,.33820415
26,.095332436,.90466756,.15556407,.84443593,.81908381,.18091618,.64973372,.35026625
27,.22135749,.77864254,.15096159,.84903842,.75430936,.24569067,.61976635,.38023365
28,.23863395,.76136607,.13854584,.86145419,.78921545,.21078455,.71285892,.28714108
29,.14496289,.85503709,.1396258,.86037421,.80918139,.19081859,.60411674,.39588323
30,.27785781,.72214222,.15126255,.84873748,.79704905,.20295092,.57728565,.42271435
31,.19885343,.80114657,.15645142,.8435486,.76288104,.23711896,.60573393,.3942661
32,.33266094,.66733909,.16103053,.83896947,.79449832,.20550171,.63660586,.36339414
33,.20992535,.79007465,.12380285,.87619716,.76578534,.23421468,.65148437,.3485156
34,.26262328,.73737675,.14501786,.85498214,.799815,.200185,.66153735,.33846265
35,.285678,.71432197,.14400278,.8559972,.77782547,.22217451,.61441875,.38558125
36,.29809958,.70190042,.12609088,.87390912,.81062686,.18937312,.65474713,.3452529
37,.24313019,.75686979,.14847448,.85152549,.80467027,.19532973,.59706044,.40293959
38,.2512154,.7487846,.13592768,.86407232,.78538555,.21461444,.58754277,.41245723
39,.27235514,.72764486,.13167989,.86832011,.79599041,.20400959,.54760969,.45239028
40,.29537863,.70462137,.11522405,.88477594,.79234838,.2076516,.56230819,.43769178
41,.30578175,.69421822,.12076808,.87923193,.78150636,.21849366,.5341301,.4658699
42,.22135387,.77864611,.10541983,.89458019,.77057886,.22942112,.55317885,.44682115
43,.18820859,.81179142,.092112809,.90788716,.7690531,.23094688,.55980545,.44019455
44,.1961346,.80386543,.12048677,.8795132,.76304162,.23695841,.56280184,.43719819
45,.24035963,.75964034,.12393314,.87606686,.78269595,.21730405,.57175374,.42824626
46,.33398661,.66601342,.13388062,.86611938,.78254622,.21745378,.49733478,.50266522
47,.21227123,.78772879,.12864396,.87135601,.73160136,.26839864,.54181045,.45818955
48,.21829836,.78170162,.1131307,.88686931,.78907013,.21092986,.57144868,.42855132
49,.21739204,.78260797,.10831865,.89168137,.76903111,.23096889,.53740561,.46259439
50,.24692813,.75307184,.098210134,.90178984,.77831924,.22168078,.58051187,.4194881
51,.21619523,.78380477,.10665686,.89334315,.80407852,.19592148,.51699668,.48300335
52,.23439403,.76560599,.13372855,.86627144,.76171106,.23828897,.54801828,.45198172
53,.23221947,.76778054,.099015377,.90098464,.7969988,.20300119,.54030329,.45969671
54,.24966763,.75033236,.10825328,.8917467,.79976428,.20023575,.54283273,.45716727
55,.28172883,.7182712,.11005897,.88994104,.78141135,.21858867,.51344258,.48655742
56,.23156755,.76843244,.10248741,.89751261,.76903379,.23096623,.53888917,.46111086
57,.27995202,.72004801,.071720146,.92827988,.77561682,.22438318,.52662259,.47337744
58,.1722969,.82770312,.073560663,.92643934,.73420191,.26579806,.49407959,.50592041
59,.22307312,.77692688,.083062544,.91693747,.75906771,.24093229,.49808994,.50191009
60,.24708992,.75291008,.084714606,.91528541,.72762311,.27237689,.39239579,.60760421
61,.17830211,.82169789,.078857608,.9211424,.73433053,.26566944,.37562492,.62437505
62,.23371653,.76628345,.055529855,.94447017,.71287048,.28712952,.38843828,.61156172
63,.079647519,.92035246,.054393332,.94560665,.73694122,.26305881,.3954573,.60454273
64,.22206616,.77793384,.048630543,.95136946,.67731047,.32268953,.36092454,.63907546
65,.044294558,.95570546,.042065125,.95793486,.67591566,.32408437,.3807306,.61926937
66,.1674629,.83253711,.060058694,.93994129,.68095815,.31904185,.33316624,.66683376
67,.16998304,.83001697,.056419656,.94358033,.66406941,.33593059,.31970605,.68029398
68,.11081833,.88918167,.054572977,.945427,.62571275,.37428725,.3099902,.69000983
69,.14103954,.85896045,.071924746,.92807525,.67155707,.32844293,.35200724,.64799279
70,.16920276,.83079726,.060177092,.93982291,.64571434,.35428566,.31781474,.68218523
71,.15323175,.84676826,.072299927,.92770004,.67017138,.32982859,.32258216,.67741787
72,.23098052,.76901948,.069201343,.93079865,.61431104,.38568896,.36437362,.63562638
73,.20285589,.79714411,.064828619,.93517137,.62228262,.37771738,.36527759,.63472241
74,.19618407,.8038159,.051297463,.94870251,.61087424,.38912579,.33766249,.66233754
75,.18963045,.81036955,.07411392,.92588609,.63860476,.36139521,.35433728,.64566272
