age,MH_P2P,MH_P2G,MH_G2P,MH_G2G
25,.72592193,.27407804,.26487294,.73512709
26,.72517687,.27482316,.29416829,.70583171
27,.67322993,.3267701,.27568606,.72431391
28,.70326692,.29673308,.30656147,.69343853
29,.69859767,.30140233,.27737188,.72262812
30,.72034085,.27965915,.26981574,.73018426
31,.67869097,.32130903,.29023108,.70976895
32,.72270954,.27729043,.29683805,.70316195
33,.67363095,.32636908,.25452623,.74547374
34,.70976579,.29023424,.27589366,.72410637
35,.69989473,.30010524,.26186356,.73813641
36,.7258665,.2741335,.26894882,.73105115
37,.72067887,.2793211,.26292443,.73707557
38,.70446324,.29553676,.25818434,.74181563
39,.71694136,.28305864,.24383943,.75616056
40,.71520489,.28479514,.23580942,.76419061
41,.71133775,.28866223,.23107247,.76892751
42,.68195719,.31804281,.23030014,.76969987
43,.68593436,.31406564,.22063455,.77936542
44,.69673204,.30326793,.23004606,.76995397
45,.6995858,.30041417,.24244086,.75755912
46,.70557725,.29442278,.22566877,.77433121
47,.64021677,.35978323,.24668005,.75331992
48,.69525766,.30474237,.24381854,.75618148
49,.68610454,.31389549,.2157246,.78427541
50,.70151931,.29848066,.22941659,.77058339
51,.71941704,.28058293,.20591883,.79408115
52,.69233191,.30766809,.23624247,.76375753
53,.70656431,.29343569,.21519758,.78480244
54,.72356302,.27643698,.22153184,.77846819
55,.72070622,.27929375,.21738762,.78261238
56,.69460189,.30539814,.21609622,.78390378
57,.70277596,.29722407,.1967058,.80329418
58,.67158043,.3284196,.1869176,.8130824
59,.70229983,.2977002,.20107825,.79892176
60,.67825836,.32174167,.17651989,.82348013
61,.67057985,.32942018,.17302975,.82697028
62,.66255009,.33744988,.15949003,.84050995
63,.67520583,.32479414,.16366354,.83633649
64,.63828552,.36171445,.14690034,.85309964
65,.60541362,.39458638,.15244408,.84755594
66,.64750475,.35249522,.15082784,.84917217
67,.60650772,.39349225,.14719115,.85280883
68,.56588233,.4341177,.14776698,.85223299
69,.61886668,.38113335,.17229035,.82770962
70,.59797591,.40202412,.14943227,.85056776
71,.61494881,.38505122,.16330257,.83669746
72,.56335461,.43664539,.17767601,.82232398
73,.5718407,.42815927,.17748035,.82251966
74,.55914706,.44085294,.1525137,.84748632
75,.5968883,.4031117,.1778328,.82216722
