wage,log_wage,job_hours,log_hours,labor_earnings,log_labor_earnings,mental_health,physical_health,MH,PH
1,1,1,1,1,1,1,1,1,1
.82604307,.85424203,.84850985,.84051192,.92281866,.89272845,.64781326,.79821002,.50886095,.57122266
.76138312,.80790633,.78250039,.77893382,.8966434,.84555352,.6303609,.77627563,.47260475,.5671705
.75395364,.78594679,.76071358,.74487549,.85934812,.83744699,.57937807,.73693746,.43131787,.54669178
.78095102,.79924196,.74237645,.73033065,.82536727,.82567853,.54894269,.71230143,.42415553,.52526355
.71783847,.76797009,.65582293,.64718235,.78303492,.77893823,.52096188,.67496008,.3735173,.49986479
.50373328,.74923038,.65141577,.60476905,.74427539,.70037919,.50550312,.67248678,.37273857,.49138081
.63714659,.72132879,.60316604,.58218789,.6731028,.68652636,.49892822,.63277769,.35247737,.41572693
.68501252,.7228654,.55707055,.53039193,.64991236,.68297237,.49441785,.62568814,.37532875,.41302669
.67233896,.70418042,.51203853,.49597633,.60836715,.66915888,.48211008,.6138863,.35359526,.43870559
.66730326,.69540131,.48172608,.47425324,.57463557,.66958982,.45947149,.5990364,.34358001,.40982869
