wage,log_wage,job_hours,log_hours,labor_earnings,log_labor_earnings,mental_health,physical_health,MH,PH
1,1,1,1,1,1,1,1,1,1
.79142922,.84336579,.84395754,.85767627,.89955747,.91707921,.60280532,.76903331,.46512127,.54775125
.76925051,.81727207,.78802651,.79710644,.8753863,.88660979,.56907517,.73683554,.43145633,.51960284
.71672225,.79241884,.73902422,.74113983,.85128373,.85981566,.54198098,.70963508,.41027296,.49799114
.70750141,.77057236,.6960755,.69579595,.8314926,.83330548,.5192371,.68850064,.39245173,.47883314
.68567306,.75020134,.65929365,.64994335,.81386596,.80935293,.49992245,.66842568,.37490109,.45879731
.69797778,.73633951,.62643725,.61011678,.79220074,.78762871,.48816258,.65656281,.37239385,.44779873
.68481159,.71685725,.59020311,.57221752,.77119035,.76050109,.48200101,.64301896,.35478282,.43314651
.6643455,.70017338,.56471658,.54314119,.75343114,.74075305,.46453083,.63133287,.34787598,.42492169
.62827277,.66893172,.52403396,.5031653,.72954708,.71004534,.4397704,.6199221,.3301926,.4212001
.61995494,.66658986,.50042111,.47805306,.72171497,.69794923,.42341372,.610021,.32226035,.41181177
