age,correlation
76,.24534072
75,.28164294
74,.072303891
73,.15278256
72,.16141835
71,-.10209513
70,-.16027166
69,-.13653018
68,-.13579486
67,-.033155292
66,-.0084702382
65,-.040071119
64,.036731258
63,.057258327
62,.034464259
61,.028432196
60,.044451047
59,.083205923
58,.07749366
57,.060401924
56,.054551523
55,.041769564
54,.045246787
53,.078496248
52,.062170669
51,.066821955
50,.016141655
49,.047195993
48,.022281598
47,.047146246
46,.037102688
45,.047464862
44,.059573662
43,.032798916
42,.042161323
41,.04841537
40,.062204991
39,.040030509
38,.041612435
37,.061282732
36,.04534936
35,.046582982
34,.018649345
33,.065321028
32,.064296998
31,.10902706
30,.10632946
29,.089131325
28,.035186116
27,.091661483
26,.080503792
25,.083575219
