age,p5,p10,p25,p50,p75,p90,p95
,,,,,,,
25,494.5,648.95996,1000,1250,1600,2000,2234.665
26,520,700,1000,1300,1679,2077,2453
27,500,670,1000,1321.67,1733.33,2105,2400
28,492,693.33002,1006.25,1370,1770,2145,2600
29,487.5,650,1018.33,1400,1839,2300,2706
30,528.66998,698,1040,1430,1900,2400,2800
31,540,704.16998,1100,1500,1990,2530,2964
32,528,700,1100,1516.67,2056,2600,3074.49
33,519.40002,679.90002,1060,1511.15,2058.3301,2735,3255
34,511.32999,693.33002,1053,1500,2095,2781,3300
35,524,667,1030.29,1508,2098,2800,3333.3301
36,540.83496,700,1050,1600,2200,2835.165,3336.165
37,556,703,1089.83,1600,2227.5601,2900,3500
38,533,720,1086,1600,2264,2916.6699,3465
39,541.66998,703.16998,1100,1600,2238.165,2950,3500
40,589,760,1100,1600,2288,3000,3666.6699
41,550,715,1075.13,1600,2275,3000,3600
42,566,736.66998,1050,1600,2300,3000,3600
43,570,728,1083.33,1600,2300,3000,3712.22
44,567,731,1060,1600,2275,3037,3745
45,600,758.33002,1100,1639,2300,3100,3800
46,563.33002,753,1083.33,1600,2300,3096.99,3800
47,567.66998,736.66998,1067.41,1600,2258,3100,3900
48,590,736.66998,1085,1596,2300,3034.3301,3740
49,560,728,1080,1592,2216,3100,4000
50,585,754,1076.74,1596.08,2253.3301,3100,3800
51,600,752.91998,1100,1552.34,2200,3041.6699,3705
52,609,774.85999,1100,1594.8101,2240.3301,3006.8799,3700
53,600,750,1083.33,1516.67,2200,2930,3638.3701
54,595,738,1062,1538.65,2200,3000,3700
55,583.33002,740,1029.17,1500,2184,3000,3600
56,583.33002,746,1024,1494,2130.52,3000,3594
57,547.08002,712,1000,1450,2100,2925,3573.8401
58,550,700,996.66998,1408.0249,2100,2900,3522.23
59,504.82999,650,940,1386.67,2000,2840,3400
60,520,664,929.40997,1301.83,1931.58,2659.2,3300
61,500,633,917,1300,1814,2624,3333.3301
62,480.5,600,900,1299,1860.665,2600,3250
63,450,590,900,1297.575,1810,2600,3400
64,433.32999,541.935,849.33002,1250,1800,2617.0801,3250
65,390,476,706,1170,1733.33,2650,3285.6899
66,400,450,650,1100,1716,2708.3301,3960
67,378,433.32999,614,998.33496,1610,2508.8201,3800
68,361.82999,437,599,970,1420,2277.25,3142.48
69,327,390,590.41998,850,1205.53,1900,2500
70,306,368.32999,512.83496,855,1231.665,1804.85,2700
71,310,360.16498,506.5,770,1161,2110.615,3201.9651
72,300,340,520,790,1150,1583.33,2275
73,290,301,555,817.5,1200,1796.9301,2110.3301
74,260,303.32999,411.67001,703.5,1255,1600,1927.72
75,245,346.67001,475.76001,684.66998,1300,1665.3,1777.67
76,267.57999,430,476.67001,750,1175,1351.37,1668.33
