age,labor_earnings,sd_labor_earnings,log_labor_earnings,sd_log_labor_earnings
25,1312.4916,524.78735,7.0946698,.4312799
26,1376.0631,586.14081,7.1362276,.4407697
27,1396.4336,601.24231,7.1444817,.45939583
28,1437.8242,647.01746,7.1694908,.46743423
29,1499.2477,754.42621,7.1954684,.49808243
30,1531.7144,760.7915,7.217061,.49970093
31,1605.5824,789.26477,7.2622981,.50680894
32,1641.2384,826.74756,7.2782001,.51811695
33,1653.1476,873.04608,7.272738,.54358703
34,1663.0721,885.72589,7.2772369,.54495502
35,1664.5659,886.1167,7.2779584,.54426098
36,1712.9391,901.98737,7.3081994,.54170209
37,1760.3447,938.72815,7.3314142,.550596
38,1769.5109,955.39069,7.334167,.55609828
39,1760.6532,939.33636,7.3301454,.55570102
40,1796.9393,963.47729,7.3535061,.54534996
41,1769.4452,966.42676,7.3317652,.55781072
42,1770.0035,973.61633,7.330358,.55953461
43,1790.1023,983.48163,7.3416524,.56060016
44,1785.6879,1000.9355,7.3357019,.56457585
45,1830.0261,1021.4116,7.3636169,.55686826
46,1810.7395,1019.2074,7.3506584,.56176156
47,1803.0267,1053.0186,7.3411384,.56906605
48,1800.4905,1034.6117,7.3448329,.5585953
49,1798.9719,1050.7145,7.3381915,.56985778
50,1796.6537,1037.6262,7.341445,.56093591
51,1797.9912,1086.9716,7.3422227,.5548054
52,1798.087,1039.5734,7.3464894,.55022579
53,1747.5382,967.40723,7.3229933,.54488754
54,1750.0464,1003.9514,7.3212776,.54636258
55,1734.9484,1016.952,7.3084941,.55366272
56,1704.1222,983.90314,7.2915163,.55173004
57,1685.9434,999.32916,7.2781773,.55407649
58,1658.3575,968.13556,7.2612119,.55640876
59,1595.9872,935.94659,7.2183895,.56682622
60,1534.6923,889.9635,7.1900454,.54219413
61,1515.45,929.11401,7.1668072,.55865169
62,1502.5732,932.61426,7.1518159,.57291389
63,1496.4766,964.09814,7.1380649,.59126967
64,1472.1216,938.72314,7.117229,.60162008
65,1393.4001,965.53314,7.0379739,.63438541
66,1397.2985,1086.0024,7.0036407,.6799463
67,1317.0465,1043.9407,6.9401221,.67918718
68,1228.6055,1004.1695,6.8830118,.65084368
69,1036.3613,741.22559,6.7601004,.59119916
70,1022.9755,746.20966,6.7221317,.63767767
71,1054.3645,963.47284,6.7005892,.67581028
72,939.9054,654.08344,6.6625862,.59441048
73,980.84351,686.56873,6.6936474,.62516659
74,954.16217,886.69794,6.6027164,.68836677
75,967.38092,727.51233,6.6580791,.65775776
