age,job_hours_decimal,sd_job_hours_decimal,log_hours,sd_log_hours
25,.347886,.084348552,3.5088317,.31111985
26,.34912822,.082532778,3.5149591,.2999284
27,.34805432,.084318936,3.5109787,.30237073
28,.34604928,.085188605,3.5041699,.3058089
29,.34372205,.089337796,3.4934931,.3192265
30,.34279397,.089122951,3.4903972,.32144663
31,.34569725,.089937121,3.4993279,.31928775
32,.34127194,.088785186,3.4857659,.32205358
33,.33555588,.092190705,3.4645786,.33566597
34,.33711585,.097238682,3.4670839,.33995491
35,.33048275,.095822059,3.4455621,.34634578
36,.33370054,.094773635,3.4593265,.33041576
37,.33510476,.092166223,3.4646554,.32878014
38,.33550808,.092759609,3.4663272,.3255932
39,.33481801,.091911882,3.4626238,.33510453
40,.33843714,.089506768,3.4789119,.31174624
41,.33707204,.092593767,3.471586,.32397968
42,.33445013,.093977161,3.462234,.32901952
43,.33539703,.093495078,3.4649835,.33058149
44,.3370533,.092211254,3.4729192,.31772736
45,.34164777,.091282956,3.4880552,.31319994
46,.33944273,.091469474,3.4799891,.32021144
47,.33956516,.09013322,3.4813519,.3169677
48,.34144974,.089952484,3.4871697,.31635049
49,.3419759,.091720834,3.4866652,.32512224
50,.3414602,.088274129,3.4876189,.31687146
51,.34133559,.087879702,3.4884319,.3112317
52,.34191233,.089971967,3.4888406,.31581861
53,.33946931,.088935569,3.4804957,.32180658
54,.33918926,.087856457,3.481432,.31362402
55,.3379249,.090962604,3.4750531,.3220914
56,.3353408,.094491705,3.4638677,.33382541
57,.3314634,.095276818,3.4489038,.34630209
58,.32883009,.094652094,3.4415123,.34327334
59,.32360607,.096300378,3.422354,.35262135
60,.3212336,.099078506,3.4119806,.36076084
61,.318378,.099139124,3.4005561,.36987782
62,.31652501,.10211013,3.3911426,.37997136
63,.31310698,.10193535,3.3799152,.37955824
64,.30556753,.10517355,3.3467338,.40593961
65,.29067016,.1112669,3.2876372,.42078081
66,.27563345,.1103227,3.2328198,.41911039
67,.2749081,.11577467,3.2228217,.43641675
68,.25405642,.10754842,3.1467717,.42478076
69,.25401461,.12114624,3.1340494,.44733107
70,.23594445,.11095919,3.0554616,.46250919
71,.24752501,.13649426,3.0870113,.4846921
72,.23903847,.1268117,3.0471599,.50177687
73,.26249999,.13543244,3.1441522,.5023858
74,.24163043,.12043927,3.0702305,.48496193
75,.23136364,.11438882,3.0302219,.47858849
