age,mean_earnings_MH0_age,mean_earnings_MH1_age,_merge
25,1272.6653,1341.3186,matched (3)
26,1322.9956,1420.1147,matched (3)
27,1358.1302,1428.1017,matched (3)
28,1412.174,1456.4352,matched (3)
29,1442.95,1539.1505,matched (3)
30,1449.4301,1592.5873,matched (3)
31,1506.7859,1678.8623,matched (3)
32,1553.7374,1701.207,matched (3)
33,1578.0439,1707.457,matched (3)
34,1638.3491,1679.9758,matched (3)
35,1600.9755,1714.6022,matched (3)
36,1659.4594,1751.876,matched (3)
37,1692.0717,1807.813,matched (3)
38,1708.2421,1813.3407,matched (3)
39,1725.4589,1787.076,matched (3)
40,1731.4435,1852.6643,matched (3)
41,1710.3857,1803.8145,matched (3)
42,1715.3142,1803.2317,matched (3)
43,1718.2216,1833.1389,matched (3)
44,1736.9335,1814.6174,matched (3)
45,1767.5255,1871.058,matched (3)
46,1757.903,1844.8749,matched (3)
47,1749.7601,1835.0031,matched (3)
48,1746.7966,1829.5288,matched (3)
49,1752.3193,1825.5636,matched (3)
50,1763.9374,1815.02,matched (3)
51,1688.2117,1860.6401,matched (3)
52,1710.0629,1850.6211,matched (3)
53,1649.8577,1807.6241,matched (3)
54,1671.3905,1792.7305,matched (3)
55,1640.7781,1793.1914,matched (3)
56,1612.0585,1759.2416,matched (3)
57,1603.8073,1728.7445,matched (3)
58,1533.2725,1723.4097,matched (3)
59,1461.1927,1662.6753,matched (3)
60,1492.8561,1555.5181,matched (3)
61,1472.2313,1535.3245,matched (3)
62,1452.158,1522.5143,matched (3)
63,1424.9036,1525.9012,matched (3)
64,1419.4148,1486.3861,matched (3)
65,1505.5182,1347.5643,matched (3)
66,1378.0663,1402.5334,matched (3)
67,1404.8262,1289.5085,matched (3)
68,1533.249,1099.8414,matched (3)
69,998.90771,1045.1107,matched (3)
70,1195.5067,974.65717,matched (3)
71,1557.1956,987.04279,matched (3)
72,670.72144,998.78937,matched (3)
73,844.61127,1009.5239,matched (3)
74,694.19287,1000.8233,matched (3)
75,516.66748,1008.1445,matched (3)
76,640.73248,933.27222,matched (3)
