age,mean_earnings_MHT0_age,mean_earnings_MHT1_age,_merge
25,1283.803,1345.6317,matched (3)
26,1340.1815,1419.511,matched (3)
27,1339.2456,1459.8198,matched (3)
28,1366.7715,1510.7157,matched (3)
29,1414.9845,1582.9501,matched (3)
30,1443.2443,1621.1255,matched (3)
31,1515.1084,1702.4397,matched (3)
32,1565.0905,1718.436,matched (3)
33,1557.1022,1746.5569,matched (3)
34,1585.9768,1736.3604,matched (3)
35,1573.4631,1751.9543,matched (3)
36,1620.4082,1798.5465,matched (3)
37,1670.4562,1845.2944,matched (3)
38,1710.9683,1826.4164,matched (3)
39,1700.4811,1819.6521,matched (3)
40,1733.6792,1856.4943,matched (3)
41,1690.5917,1841.5474,matched (3)
42,1669.3759,1860.761,matched (3)
43,1727.5181,1846.8176,matched (3)
44,1687.6013,1874.8507,matched (3)
45,1749.8262,1900.0894,matched (3)
46,1757.8556,1859.233,matched (3)
47,1715.3733,1878.4023,matched (3)
48,1732.793,1860.6327,matched (3)
49,1747.6196,1843.4723,matched (3)
50,1727.6121,1857.6898,matched (3)
51,1730.7332,1857.522,matched (3)
52,1724.639,1862.8209,matched (3)
53,1673.7751,1812.7216,matched (3)
54,1676.3545,1811.4563,matched (3)
55,1678.1696,1784.6055,matched (3)
56,1630.7113,1769.7219,matched (3)
57,1593.3472,1770.4606,matched (3)
58,1542.8448,1760.2251,matched (3)
59,1504.088,1679.476,matched (3)
60,1447.7428,1611.3524,matched (3)
61,1453.6125,1571.546,matched (3)
62,1421.4399,1574.4185,matched (3)
63,1427.6709,1556.9464,matched (3)
64,1447.4313,1491.5989,matched (3)
65,1408.5974,1380.8131,matched (3)
66,1462.2662,1341.2783,matched (3)
67,1416.6713,1243.1313,matched (3)
68,1344.8119,1126.9248,matched (3)
69,1122.9133,958.224,matched (3)
70,1135.6145,922.19336,matched (3)
71,989.54755,1100.8636,matched (3)
72,833.21307,1031.356,matched (3)
73,674.97748,1216.125,matched (3)
74,942.77802,959.67065,matched (3)
75,489.34332,1154.4391,matched (3)
76,613.82544,1026.4777,matched (3)
