age,mean_hours_MH0_age,mean_hours_MH1_age,_merge
25,.34271789,.35188121,matched (3)
26,.33875,.35802382,matched (3)
27,.34078696,.35390893,matched (3)
28,.34081039,.34960338,matched (3)
29,.33421862,.35039061,matched (3)
30,.33593014,.34757492,matched (3)
31,.34024313,.34978783,matched (3)
32,.33539608,.34540933,matched (3)
33,.32971326,.33970249,matched (3)
34,.33499008,.33857435,matched (3)
35,.32524872,.3343128,matched (3)
36,.32753065,.3378773,matched (3)
37,.3276675,.34029207,matched (3)
38,.32894096,.34015885,matched (3)
39,.33248609,.33640078,matched (3)
40,.33311543,.34182122,matched (3)
41,.3321152,.34021491,matched (3)
42,.32892358,.33781525,matched (3)
43,.33160043,.33769211,matched (3)
44,.33020961,.34115514,matched (3)
45,.33826798,.34377161,matched (3)
46,.33885744,.33982006,matched (3)
47,.33689722,.34118256,matched (3)
48,.33848876,.34315661,matched (3)
49,.34148911,.34226805,matched (3)
50,.33836174,.34330186,matched (3)
51,.33970097,.34231076,matched (3)
52,.33654329,.3451826,matched (3)
53,.33649099,.34120473,matched (3)
54,.3338263,.34219325,matched (3)
55,.3286154,.34331921,matched (3)
56,.32884347,.33912274,matched (3)
57,.3309958,.33172423,matched (3)
58,.32652691,.33002713,matched (3)
59,.31514972,.32773131,matched (3)
60,.31888297,.32236439,matched (3)
61,.32183594,.31685174,matched (3)
62,.31827274,.31579494,matched (3)
63,.32096183,.30996025,matched (3)
64,.30285639,.3064433,matched (3)
65,.30051401,.2878387,matched (3)
66,.28115386,.27378541,matched (3)
67,.2960577,.26990908,matched (3)
68,.24423078,.25651282,matched (3)
69,.26161289,.25179246,matched (3)
70,.26979166,.2262738,matched (3)
71,.33944446,.23587324,matched (3)
72,.18607143,.25062501,matched (3)
73,.20937501,.2736842,matched (3)
74,.205,.24820513,matched (3)
75,.14375,.24344827,matched (3)
76,.16500001,.22296296,matched (3)
