age,mean_earnings_MH0_age,mean_earnings_MH1_age,_merge
25,7.0641346,7.1179886,matched (3)
26,7.0921021,7.1742916,matched (3)
27,7.1080623,7.1737065,matched (3)
28,7.1434655,7.1873479,matched (3)
29,7.1525083,7.225718,matched (3)
30,7.1617365,7.2558165,matched (3)
31,7.2055554,7.3046279,matched (3)
32,7.2279091,7.3134303,matched (3)
33,7.2235889,7.3077793,matched (3)
34,7.2576256,7.2907176,matched (3)
35,7.2279701,7.3147368,matched (3)
36,7.2782655,7.3282599,matched (3)
37,7.2882948,7.3615532,matched (3)
38,7.2922449,7.3638062,matched (3)
39,7.3111582,7.3430223,matched (3)
40,7.3122511,7.3798304,matched (3)
41,7.3014302,7.3510828,matched (3)
42,7.3007832,7.3482819,matched (3)
43,7.303452,7.3648925,matched (3)
44,7.2978992,7.3582144,matched (3)
45,7.3242936,7.3881431,matched (3)
46,7.3233318,7.3683448,matched (3)
47,7.3163805,7.3562655,matched (3)
48,7.320816,7.3585081,matched (3)
49,7.3214097,7.3482895,matched (3)
50,7.3246031,7.3515058,matched (3)
51,7.2972093,7.3689895,matched (3)
52,7.3074212,7.3703117,matched (3)
53,7.2769895,7.3499727,matched (3)
54,7.2821841,7.3429966,matched (3)
55,7.2577744,7.3377681,matched (3)
56,7.2392597,7.3217697,matched (3)
57,7.2424283,7.2981029,matched (3)
58,7.2093043,7.2886472,matched (3)
59,7.137639,7.257607,matched (3)
60,7.1694307,7.1999311,matched (3)
61,7.1589599,7.1702356,matched (3)
62,7.1393366,7.1569619,matched (3)
63,7.1331663,7.1399989,matched (3)
64,7.0914469,7.1254845,matched (3)
65,7.1091118,7.0170169,matched (3)
66,6.9761534,7.0131602,matched (3)
67,6.9870772,6.9291873,matched (3)
68,7.0388589,6.8440499,matched (3)
69,6.6896105,6.780715,matched (3)
70,6.8458447,6.6867852,matched (3)
71,7.0499592,6.6556702,matched (3)
72,6.4351702,6.7123337,matched (3)
73,6.5696836,6.7197452,matched (3)
74,6.3789463,6.6428804,matched (3)
75,6.2335277,6.7019982,matched (3)
76,6.3434901,6.6593099,matched (3)
