age,mean_log_hours_MH0_age,mean_log_hours_MH1_age,_merge
25,-1.1175108,-1.0785894,matched (3)
26,-1.125734,-1.0638775,matched (3)
27,-1.1228738,-1.0725821,matched (3)
28,-1.1212186,-1.0882916,matched (3)
29,-1.1453161,-1.0879616,matched (3)
30,-1.1374371,-1.098405,matched (3)
31,-1.1254063,-1.0920658,matched (3)
32,-1.1396877,-1.1039742,matched (3)
33,-1.1607289,-1.1262665,matched (3)
34,-1.1432891,-1.1351353,matched (3)
35,-1.1798904,-1.1427279,matched (3)
36,-1.1656972,-1.1334929,matched (3)
37,-1.1658759,-1.1237719,matched (3)
38,-1.160627,-1.1235704,matched (3)
39,-1.1462896,-1.1399294,matched (3)
40,-1.146495,-1.1149751,matched (3)
41,-1.1484454,-1.1227946,matched (3)
42,-1.1619022,-1.1314303,matched (3)
43,-1.1541784,-1.1313425,matched (3)
44,-1.1579589,-1.1180574,matched (3)
45,-1.1282756,-1.1102703,matched (3)
46,-1.1238607,-1.1244363,matched (3)
47,-1.126426,-1.1222147,matched (3)
48,-1.1310329,-1.110924,matched (3)
49,-1.1184239,-1.1188552,matched (3)
50,-1.1254843,-1.1141077,matched (3)
51,-1.1214278,-1.1139255,matched (3)
52,-1.1290121,-1.1072009,matched (3)
53,-1.133243,-1.1198608,matched (3)
54,-1.1398656,-1.1146531,matched (3)
55,-1.1619223,-1.1128371,matched (3)
56,-1.1606128,-1.1310438,matched (3)
57,-1.1554329,-1.1569228,matched (3)
58,-1.1635853,-1.1627983,matched (3)
59,-1.2086481,-1.1698333,matched (3)
60,-1.197464,-1.1911111,matched (3)
61,-1.1887411,-1.2130495,matched (3)
62,-1.2049359,-1.218502,matched (3)
63,-1.1926975,-1.2375396,matched (3)
64,-1.2729175,-1.2538344,matched (3)
65,-1.2799156,-1.328486,matched (3)
66,-1.3632956,-1.3754215,matched (3)
67,-1.3205652,-1.3933488,matched (3)
68,-1.5047284,-1.4468161,matched (3)
69,-1.5061326,-1.4642295,matched (3)
70,-1.414287,-1.5884006,matched (3)
71,-1.2179257,-1.5554563,matched (3)
72,-1.7616661,-1.5134608,matched (3)
73,-1.6633459,-1.4184226,matched (3)
74,-1.6872368,-1.5076045,matched (3)
75,-1.89712,-1.5165292,matched (3)
76,-1.8354049,-1.6080222,matched (3)
