age,mean_wage_MH0_age,mean_wage_MH1_age,_merge
25,9.4068117,9.4903278,matched (3)
26,9.8504915,9.979845,matched (3)
27,9.8734941,10.072956,matched (3)
28,10.324862,10.322501,matched (3)
29,10.702669,10.862436,matched (3)
30,10.630527,11.397208,matched (3)
31,10.997243,11.964804,matched (3)
32,11.578902,12.206479,matched (3)
33,11.800217,12.407586,matched (3)
34,12.085238,12.265396,matched (3)
35,12.287474,12.770798,matched (3)
36,12.57402,12.891455,matched (3)
37,12.762143,13.209895,matched (3)
38,12.76853,13.192223,matched (3)
39,12.749984,13.205893,matched (3)
40,12.867495,13.359283,matched (3)
41,12.767137,13.099297,matched (3)
42,12.961726,13.245714,matched (3)
43,12.866844,13.499892,matched (3)
44,13.003044,13.186927,matched (3)
45,12.906469,13.532252,matched (3)
46,12.791089,13.398022,matched (3)
47,12.776134,13.243199,matched (3)
48,12.768807,13.17735,matched (3)
49,12.704734,13.23658,matched (3)
50,12.871267,13.144697,matched (3)
51,12.400079,13.500937,matched (3)
52,12.586245,13.442002,matched (3)
53,12.260372,13.231488,matched (3)
54,12.406057,13.09401,matched (3)
55,12.466557,12.983769,matched (3)
56,12.255945,12.959082,matched (3)
57,12.176427,13.178682,matched (3)
58,11.776131,13.083347,matched (3)
59,11.479457,12.747507,matched (3)
60,11.643784,12.24334,matched (3)
61,11.50141,12.16426,matched (3)
62,11.40598,12.254173,matched (3)
63,11.124688,12.429053,matched (3)
64,12.007981,12.219666,matched (3)
65,12.354444,11.885633,matched (3)
66,11.683663,12.856929,matched (3)
67,11.131196,11.935874,matched (3)
68,16.216434,11.641634,matched (3)
69,9.8460169,10.40261,matched (3)
70,11.014414,11.420905,matched (3)
71,10.638717,10.077104,matched (3)
72,9.6346407,10.246367,matched (3)
73,10.183836,9.0181732,matched (3)
74,8.0626659,9.7595291,matched (3)
75,8.9861107,9.9012928,matched (3)
76,9.4416456,10.508096,matched (3)
