age,mean_MH_clust_50p_age
25,.43006262
26,.41892833
27,.43690637
28,.44636014
29,.44887039
30,.45243242
31,.45068359
32,.45513114
33,.46592426
34,.47111681
35,.47085202
36,.47831184
37,.4728682
38,.46133828
39,.45762095
40,.46353266
41,.47364819
42,.48218447
43,.47740018
44,.47671056
45,.48442468
46,.47898895
47,.48547328
48,.48212591
49,.48511165
50,.48128343
51,.48490626
52,.47814909
53,.47730878
54,.48724657
55,.47332466
56,.47541529
57,.47754693
58,.47840756
59,.47865853
60,.47915936
61,.48097733
62,.48695651
63,.48880234
64,.49604306
65,.50078148
66,.5046671
67,.49984667
68,.49548709
69,.50157136
70,.5053106
71,.49469143
72,.49651325
73,.48850149
74,.49544916
75,.48272884
76,.49739459
