age,var_log_lab_inc
25,.18546373
26,.19144641
27,.21033992
28,.21827164
29,.24823864
30,.24978687
31,.25557515
32,.26892555
33,.2958369
34,.29758564
35,.29766628
36,.29299808
37,.30327675
38,.30833888
39,.30924821
40,.29871219
41,.31109288
42,.31279802
43,.31437674
44,.31727171
45,.31019002
46,.31616423
47,.32346019
48,.31262031
49,.32320496
50,.31432372
51,.30764952
52,.3029024
53,.29691067
54,.29878059
55,.30704686
56,.30440763
57,.30626881
58,.30977249
59,.32189661
60,.29204082
61,.31217316
62,.32904232
63,.34976295
64,.3600885
65,.40173224
66,.46126202
67,.46050242
68,.40079966
69,.35063857
70,.40364286
71,.4509415
72,.35332382
73,.39083326
74,.47384882
75,.43899244
76,.32165
