age,wage,sd_wage,log_wage,sd_log_wage
25,9.4539042,3.1959758,2.1988928,.29847395
26,9.9042883,4.3581624,2.23575,.31501481
27,9.9819374,3.5905793,2.2478981,.31564271
28,10.322929,3.8376229,2.2796738,.31880865
29,10.797341,4.3829694,2.3158064,.34243006
30,11.10033,4.6084189,2.3417552,.34696972
31,11.537035,4.819407,2.3768334,.35938299
32,11.945786,5.4322205,2.4054658,.37287942
33,12.160992,5.2098646,2.42206,.38019362
34,12.186864,5.3652344,2.423558,.38191324
35,12.590879,6.3703418,2.4467235,.39727864
36,12.77313,6.3302035,2.4636612,.39539799
37,13.016609,5.9275289,2.4804361,.40445125
38,13.022772,5.7540116,2.4820337,.4049533
39,13.029731,5.9780626,2.4819572,.40187231
40,13.222408,6.1227036,2.4916968,.41494507
41,12.9692,5.9335704,2.4729002,.41462553
42,13.140609,6.3579941,2.4819009,.4201566
43,13.268806,6.4417014,2.4902766,.42363963
44,13.113373,6.518187,2.4769094,.42583281
45,13.29855,6.7634506,2.4898341,.4257904
46,13.170019,6.1971569,2.4841747,.42250937
47,13.065092,6.3822227,2.4735041,.42521578
48,13.017601,6.3721128,2.4704845,.4231244
49,13.03169,6.6561813,2.4654589,.43403542
50,13.027529,6.5030174,2.4672644,.43162155
51,13.079581,7.1670103,2.4666393,.43397614
52,13.125361,6.9388723,2.4709895,.43453786
53,12.888511,6.7892351,2.4572072,.42456275
54,12.842367,6.806972,2.4529533,.42659622
55,12.803748,6.740571,2.4483857,.4293555
56,12.703266,6.5994287,2.4419713,.42640987
57,12.80334,7.3974023,2.4420557,.43506378
58,12.636314,7.0160851,2.433388,.42856655
59,12.338887,6.8978972,2.4099667,.42661601
60,12.062148,6.6277218,2.3929107,.41253093
61,11.942835,6.5848126,2.3802965,.41699526
62,11.99069,8.0313864,2.3735228,.4287917
63,12.065215,7.4671369,2.372169,.44872859
64,12.156735,7.9455624,2.3838205,.43865412
65,11.849599,6.7006807,2.3567505,.45232236
66,12.546535,8.8644209,2.3843288,.4904002
67,11.757969,7.9635825,2.3266287,.47982028
68,11.72355,8.1889486,2.3326719,.45400101
69,10.241632,5.0978761,2.2373488,.39871067
70,11.343228,8.7400904,2.2823248,.47882745
71,10.139321,5.032053,2.2270837,.3985343
72,10.136569,5.1321702,2.2291319,.3893252
73,9.2208977,3.3848953,2.1632009,.33626252
74,9.5013103,5.7097006,2.1461918,.41973358
75,9.7806845,3.8205957,2.2170262,.35111839
