age,MH_type_0_P2P,MH_type_0_P2G,MH_type_0_G2G,MH_type_0_G2P,MH_type_1_P2P,MH_type_1_P2G,MH_type_1_G2G,MH_type_1_G2P
25,.87653023,.12346978,.29423499,.70576501,.39822453,.60177547,.78162557,.21837443
26,.87395626,.12604372,.29252559,.70747441,.37658319,.62341678,.76819313,.23180687
27,.8249985,.17500153,.2550402,.74495983,.34404689,.65595311,.77949983,.22050016
28,.85757756,.14242247,.18852077,.81147921,.4362559,.56374407,.76977557,.23022443
29,.84733844,.15266155,.32144764,.67855239,.38002485,.61997515,.77698231,.22301772
30,.8638401,.1361599,.30478266,.69521737,.40065277,.59934723,.77283424,.22716574
31,.85775089,.14224908,.17451786,.82548213,.38053733,.61946267,.7847892,.21521081
32,.85664403,.14335595,.22054273,.77945727,.47108406,.52891594,.76208103,.237919
33,.84731293,.15268706,.25181183,.7481882,.35687664,.64312333,.78643715,.21356288
34,.85587686,.14412314,.27191636,.72808361,.43778044,.56221956,.79012495,.20987505
35,.86535335,.13464667,.34638152,.65361851,.4246161,.5753839,.7817027,.21829733
36,.87660199,.12339801,.29035276,.70964724,.43864956,.56135046,.78837615,.21162385
37,.87026268,.1297373,.24925049,.75074953,.43879533,.56120467,.78583622,.21416377
38,.86479264,.13520736,.30873325,.69126678,.40261528,.59738469,.78457224,.21542774
39,.87054306,.12945697,.35062945,.64937055,.41260761,.58739239,.79352701,.20647299
40,.87439013,.12560989,.29617333,.70382667,.41596195,.58403802,.8230325,.17696752
41,.86043292,.13956709,.23986286,.76013714,.42277551,.57722449,.82435036,.17564963
42,.84948993,.15051009,.31229633,.68770367,.38776857,.61223143,.80670106,.19329892
43,.84706801,.152932,.23884702,.76115298,.36850038,.63149959,.81564236,.18435767
44,.83593023,.16406976,.33505037,.66494966,.41550204,.58449793,.81416166,.18583833
45,.85070866,.14929134,.26099128,.73900872,.44412032,.55587971,.81100363,.18899639
46,.84886742,.15113257,.3197163,.68028373,.45754755,.54245245,.80640924,.19359079
47,.83944494,.16055505,.29173869,.70826131,.33280742,.66719258,.81451219,.18548779
48,.85297102,.14702898,.23789817,.76210183,.37773761,.62226242,.81169742,.18830255
49,.85523736,.14476265,.32149899,.67850101,.35435745,.64564252,.81742901,.18257099
50,.85166776,.14833227,.22249909,.77750093,.41359985,.58640015,.81566787,.18433215
51,.88024646,.11975356,.31196177,.68803823,.39914092,.60085911,.83373934,.16626064
52,.83472389,.1652761,.27061033,.72938967,.39156777,.60843223,.82332563,.17667435
53,.878398,.12160203,.27215099,.72784901,.40362626,.59637374,.84659785,.15340218
54,.8795082,.12049178,.28487906,.71512097,.40670359,.59329641,.82439613,.17560387
55,.85739535,.14260466,.32422423,.67577577,.39169696,.60830307,.83104557,.16895442
56,.87228757,.12771246,.32263687,.67736316,.36601612,.63398391,.8364194,.16358061
57,.86106175,.13893826,.25058183,.74941814,.40828431,.59171569,.86042422,.13957578
58,.86212724,.13787276,.26729506,.73270494,.37093785,.62906212,.84602594,.15397409
59,.86003786,.13996214,.28954712,.71045291,.40377483,.59622514,.83322716,.16677286
60,.85322249,.14677751,.30624473,.69375527,.40949482,.59050518,.85583186,.14416817
61,.84998763,.15001234,.3033295,.69667053,.38896418,.61103582,.85467297,.14532702
62,.87181062,.1281894,.29719406,.70280594,.38308859,.61691141,.86691666,.13308333
63,.88656402,.11343595,.1993254,.80067462,.36656705,.63343292,.86706948,.1329305
64,.81927842,.18072157,.35849467,.6415053,.35214061,.64785939,.8738755,.12612453
65,.86843455,.13156545,.30739433,.69260567,.29884291,.70115709,.87589067,.12410936
66,.86583263,.13416737,.2511932,.74880683,.37785572,.62214428,.88049364,.11950638
67,.86237824,.13762176,.31728047,.68271953,.34590733,.65409267,.87497568,.12502433
68,.85019654,.14980349,.24258895,.75741106,.30808878,.69191122,.87532228,.12467769
69,.87277651,.12722346,.26318747,.73681253,.36098024,.63901979,.85116386,.14883614
70,.8514269,.14857312,.18658803,.81341195,.33288223,.66711777,.86657566,.13342431
71,.84909153,.15090849,.32462451,.67537546,.37066615,.62933385,.85819411,.14180587
72,.82202584,.17797415,.22404812,.77595186,.3537139,.64628607,.84570515,.15429483
73,.84214407,.15785591,.23737715,.76262283,.36986697,.63013303,.84497195,.15502806
74,.82984203,.17015798,.22768529,.77231473,.37699774,.62300229,.86969316,.13030683
75,.85452926,.14547074,.42502007,.5749799,.38660759,.61339241,.83576238,.16423762
