age,MH_type_0_P2P,MH_type_0_P2G,MH_type_0_G2P,MH_type_0_G2G,MH_type_1_P2P,MH_type_1_P2G,MH_type_1_G2P,MH_type_1_G2G
25,.8754794,.12452059,.74297398,.25702599,.29290527,.70709473,.18237224,.81762773
26,.86434996,.13565002,.75701863,.24298139,.26841661,.73158336,.20048222,.79951775
27,.82712728,.17287271,.7587949,.24120511,.31224936,.68775064,.21500283,.78499717
28,.84419435,.15580563,.86060447,.13939553,.37804666,.62195331,.21444201,.78555799
29,.85566604,.14433396,.75162399,.24837598,.36479238,.63520759,.20022479,.79977518
30,.86533916,.13466087,.71409243,.28590757,.41208208,.58791792,.21534273,.78465724
31,.84289461,.15710537,.79208875,.20791122,.32478532,.67521465,.21011263,.78988737
32,.84779489,.15220508,.77906972,.22093026,.47691575,.52308428,.22188725,.77811277
33,.84677523,.15322478,.70232064,.29767939,.37968874,.62031126,.21133322,.78866678
34,.85984325,.14015672,.73749512,.26250491,.4486554,.55134463,.21138501,.78861499
35,.87898982,.12101018,.63698024,.36301976,.40257651,.59742349,.20301838,.79698163
36,.89161044,.10838956,.72961134,.27038869,.44112328,.55887675,.20382242,.79617757
37,.87128538,.12871461,.75843197,.24156804,.42458197,.575418,.20341153,.79658848
38,.86403549,.1359645,.69449127,.30550873,.41030917,.58969086,.20553091,.79446906
39,.88519055,.11480945,.65179008,.34820992,.3983832,.6016168,.19541623,.80458379
40,.87698996,.12301001,.70543152,.29456848,.41191205,.58808792,.17742623,.82257378
41,.85519326,.14480676,.72864157,.27135843,.41011047,.58988953,.17652355,.82347643
42,.84681404,.15318596,.69918299,.30081698,.35897234,.64102763,.18016377,.8198362
43,.85781509,.14218493,.71262157,.28737846,.35115677,.64884323,.17200753,.82799244
44,.84589821,.1541018,.66816342,.33183658,.39017457,.60982543,.1838045,.81619549
45,.86114705,.13885297,.78548247,.21451753,.42171481,.57828522,.18682362,.81317639
46,.86466032,.13533966,.69553405,.30446595,.43168259,.56831741,.18347874,.81652129
47,.84382665,.15617333,.76210761,.2378924,.31429687,.68570316,.18648042,.8135196
48,.86527264,.13472739,.75611264,.24388736,.38577151,.61422849,.18469039,.81530964
49,.86704355,.13295642,.68328053,.31671947,.36925867,.63074136,.17481783,.8251822
50,.8528263,.1471737,.75774127,.24225874,.41037977,.58962023,.17715977,.82284021
51,.89667434,.10332569,.72904027,.27095971,.40365294,.59634703,.16151811,.8384819
52,.84519517,.15480483,.75594884,.24405113,.42333108,.57666892,.18883204,.81116796
53,.87295699,.12704301,.70444083,.2955592,.40445426,.59554577,.15677802,.84322196
54,.88847071,.11152932,.69153446,.30846554,.40147802,.59852201,.16460513,.83539486
55,.8692106,.13078938,.72129381,.27870619,.38271186,.61728811,.16441496,.83558506
56,.86931562,.13068439,.71678215,.28321785,.36505198,.63494802,.15923831,.84076166
57,.87822735,.12177264,.73695683,.26304317,.42701763,.57298237,.13915882,.86084116
58,.86360222,.13639779,.70953631,.29046369,.32709682,.67290318,.14728983,.85271019
59,.85728598,.14271401,.74388951,.25611052,.39539984,.60460019,.1615904,.8384096
60,.85405374,.14594628,.71208876,.28791121,.39423808,.60576195,.14040913,.85959089
61,.85855466,.14144534,.70143592,.29856408,.40824822,.59175181,.13699523,.86300474
62,.86746067,.13253933,.73506474,.26493526,.35161641,.64838356,.13165282,.86834717
63,.89033675,.10966326,.80552453,.19447547,.32795274,.67204726,.1343247,.86567527
64,.82678908,.1732109,.67129689,.32870311,.32465911,.67534089,.12979135,.87020862
65,.87373471,.12626526,.72342002,.27657998,.31600562,.68399435,.11511482,.88488519
66,.86073261,.13926736,.74654716,.25345284,.36336538,.63663465,.12457877,.87542123
67,.86309266,.13690732,.71299332,.28700668,.34455177,.6554482,.12625936,.87374067
68,.85395157,.14604841,.74255556,.25744447,.2857765,.7142235,.12764959,.87235039
69,.88089371,.11910631,.77564245,.22435758,.34806365,.65193635,.14507496,.85492504
70,.86772847,.13227156,.82054222,.17945778,.31953737,.6804626,.1320347,.86796528
71,.85569555,.14430444,.69600075,.30399927,.36983708,.63016295,.14567564,.85432434
72,.82702994,.17297004,.83511353,.16488646,.3334223,.6665777,.14637637,.85362363
73,.82258719,.17741281,.80715233,.19284768,.35087094,.64912909,.1562575,.84374249
74,.83545226,.16454777,.81996524,.18003479,.32891575,.67108428,.12867297,.87132704
75,1,0,.54664272,.45335728,.073408641,.92659134,.090760998,.90923899
