age,MH_type_P2P,MH_type_P2G,MH_type_G2P,MH_type_G2G
25,.70671272,.29328725,.30958235,.69041765
26,.69649816,.30350181,.31359875,.68640125
27,.67711455,.32288542,.26000664,.73999339
28,.72955626,.27044374,.29735586,.70264417
29,.67757666,.32242337,.29286152,.70713848
30,.67619491,.32380509,.30654985,.69345015
31,.67849082,.32150921,.30082607,.69917393
32,.71500951,.28499052,.28016356,.71983641
33,.65932405,.34067598,.25319761,.74680239
34,.71555209,.28444788,.27103218,.72896779
35,.69135535,.30864468,.26944098,.73055905
36,.70700413,.29299587,.26993579,.73006421
37,.70761293,.29238707,.26591572,.73408425
38,.66146797,.33853203,.27033442,.72966558
39,.67129391,.32870606,.25399131,.74600869
40,.68309051,.31690952,.24698387,.75301611
41,.67934191,.32065812,.23423256,.76576746
42,.66691142,.33308855,.23744932,.76255071
43,.64011735,.35988268,.23960027,.7603997
44,.6775943,.32240567,.23048142,.76951861
45,.66580266,.33419734,.24779214,.75220788
46,.65716201,.34283799,.24218954,.75781047
47,.59319669,.40680331,.22833692,.77166307
48,.65507764,.34492239,.24715061,.7528494
49,.62487936,.37512061,.21848698,.78151304
50,.66483712,.33516285,.24110511,.75889486
51,.64295876,.35704121,.21016546,.78983456
52,.62059879,.37940124,.22483851,.7751615
53,.64491951,.35508052,.21524094,.78475904
54,.67906374,.32093626,.21698475,.78301525
55,.65153241,.34846756,.20819405,.79180598
56,.63462025,.36537972,.21207014,.78792989
57,.63358349,.36641651,.20075071,.79924929
58,.6187678,.38123217,.17999448,.82000554
59,.63171202,.36828795,.19885857,.80114144
60,.61471784,.38528216,.17762485,.82237518
61,.60910434,.39089569,.1896145,.81038553
62,.61491233,.38508764,.1669209,.8330791
63,.61494315,.38505685,.1543074,.84569263
64,.61502522,.38497478,.12481166,.87518835
65,.57619041,.42380959,.15144317,.84855682
66,.62794787,.37205213,.12409614,.87590384
67,.60923994,.39076006,.092559569,.90744042
68,.55529022,.44470981,.1348798,.86512017
69,.41272894,.58727109,.1080314,.89196861
70,.42072865,.57927132,.15331917,.84668082
71,.36201844,.63798159,.1296175,.87038249
72,.45824933,.54175067,.18218702,.81781298
73,.4570722,.5429278,.10227431,.8977257
74,.7087211,.29127887,.081931271,.91806871
75,,,0,1
