age,MH_type_0_P2P,MH_type_0_P2G,MH_type_0_G2P,MH_type_0_G2G,MH_type_1_P2P,MH_type_1_P2G,MH_type_1_G2P,MH_type_1_G2G
25,.88466465,.11533532,.71933562,.28066435,.28294072,.71705925,.20348099,.79651898
26,.87736923,.12263079,.70549285,.29450715,.2855728,.71442717,.22921133,.77078867
27,.81362128,.18637873,.71714836,.28285164,.34209594,.65790409,.21795827,.78204173
28,.85748076,.14251925,.82873297,.17126703,.41642001,.58358002,.2156252,.78437483
29,.85112453,.1488755,.71026331,.28973669,.34561068,.65438932,.21590404,.78409594
30,.86043906,.13956095,.70481044,.29518953,.3764317,.6235683,.22872923,.77127075
31,.84935725,.15064275,.83075565,.16924433,.37556329,.62443668,.21141665,.78858334
32,.8538022,.14619781,.74124706,.25875297,.46304882,.53695118,.23863959,.76136041
33,.84900439,.15099558,.74516094,.25483903,.3494556,.6505444,.20963693,.79036307
34,.85551411,.14448586,.70547694,.29452303,.43228608,.56771392,.21040106,.78959894
35,.86482894,.13517107,.63464612,.36535385,.42233562,.57766438,.21844622,.78155375
36,.87576753,.1242325,.71823275,.28176725,.43588886,.56411111,.2080829,.79191709
37,.86936504,.13063496,.74969739,.25030258,.43227145,.56772858,.21257757,.78742242
38,.86396676,.13603321,.68983293,.31016704,.38997728,.61002272,.214494,.78550601
39,.86991966,.13008034,.65509111,.34490889,.405357,.594643,.20378701,.79621297
40,.87103719,.12896283,.69537127,.30462873,.41079599,.58920401,.17649712,.8235029
41,.85251862,.14748137,.75856513,.24143484,.4277285,.57227153,.17388242,.82611758
42,.84745473,.15254527,.70151168,.29848832,.38542333,.6145767,.18849257,.8115074
43,.84173995,.15826002,.75846356,.24153642,.37043115,.62956887,.18239076,.81760925
44,.83338034,.16661967,.68015683,.3198432,.41443646,.58556354,.18161023,.81838977
45,.85071409,.14928594,.73837399,.26162601,.43659464,.56340539,.18851492,.81148505
46,.84786105,.15213895,.68377721,.31622279,.45026615,.54973382,.19257069,.80742931
47,.83681464,.16318533,.7047981,.2952019,.33296555,.66703445,.18512586,.81487411
48,.85085052,.14914948,.76075822,.23924175,.37850061,.62149936,.18742168,.81257832
49,.8557018,.14429821,.68169361,.31830636,.3510133,.6489867,.18181697,.818183
50,.84999013,.15000986,.77694124,.22305876,.41119942,.58880061,.18404543,.81595457
51,.87731928,.12268075,.68897867,.3110213,.39881632,.60118371,.16525897,.834741
52,.83302206,.16697796,.72381914,.27618089,.39151925,.60848075,.17578602,.82421398
53,.87852448,.12147553,.73165905,.26834092,.39994338,.60005659,.15131736,.84868264
54,.87743986,.12256014,.71283716,.28716284,.40447414,.59552586,.17539214,.82460785
55,.8559466,.14405338,.66518664,.33481336,.39086527,.60913473,.16882305,.83117694
56,.87076068,.12923935,.67414767,.3258523,.36584356,.63415647,.16307046,.83692956
57,.85867238,.14132762,.74979883,.25020117,.40962592,.59037411,.13820767,.86179233
58,.86073446,.13926555,.72516918,.27483082,.36694998,.63305002,.15314093,.8468591
59,.86081976,.13918026,.71934652,.28065348,.39279461,.60720539,.16502663,.83497339
60,.85380167,.1461983,.69555491,.30444509,.39964592,.60035408,.14310867,.85689133
61,.84697425,.15302576,.69257605,.30742395,.38356128,.61643875,.14538252,.85461748
62,.8682465,.1317535,.70420521,.29579479,.38222525,.61777478,.13186093,.86813909
63,.8872143,.11278567,.80050236,.19949766,.36154187,.63845813,.13138455,.86861545
64,.8152411,.1847589,.6455366,.3544634,.35056692,.64943308,.12572099,.87427902
65,.86648208,.13351794,.67580742,.32419261,.2959587,.7040413,.124287,.87571299
66,.86380529,.13619472,.72621989,.27378008,.37713793,.6228621,.11893887,.88106114
67,.85610694,.14389308,.67197138,.32802859,.3486532,.6513468,.12415669,.87584329
68,.84060425,.15939574,.7297529,.2702471,.31238917,.68761086,.12441266,.87558734
69,.87817639,.12182362,.77960807,.22039193,.35539192,.64460808,.14545509,.85454488
70,.85582978,.14417022,.8256126,.17438743,.31158191,.68841809,.13490355,.86509645
71,.84916461,.15083541,.64917004,.35082993,.35695422,.64304578,.14442739,.85557258
72,.82860428,.17139572,.80416858,.19583139,.33559892,.66440105,.15180507,.8481949
73,.83840102,.16159897,.80410373,.19589627,.34675354,.65324646,.15318257,.84681743
74,.82723296,.17276706,.81611508,.18388493,.34476563,.65523434,.13309807,.86690193
75,.72715819,.27284181,.37514335,.62485665,.47587696,.52412307,.1767104,.82328963
